stripid,w1c,w2c,w3c,w4c,w5c
237640,-0.65625,-0.515625,0.25,0.515625,0.40625
229640,-0.65625,-0.515625,0.25,0.515625,0.40625
229576,-0.65625,-0.515625,0.25,0.515625,0.40625
229512,-0.65625,-0.515625,0.25,0.515625,0.40625
229448,-0.65625,-0.515625,0.25,0.515625,0.40625
221448,-0.65625,-0.515625,0.25,0.515625,0.40625
229648,-0.65625,-0.515625,0.25,0.515625,0.40625
229584,-0.65625,-0.515625,0.25,0.515625,0.40625
229520,-0.65625,-0.515625,0.25,0.515625,0.40625
229456,-0.65625,-0.515625,0.25,0.515625,0.40625
229656,-0.65625,-0.515625,0.25,0.515625,0.40625
229592,-0.65625,-0.515625,0.25,0.515625,0.40625
229528,-0.65625,-0.515625,0.25,0.515625,0.40625
229464,-0.65625,-0.515625,0.25,0.515625,0.40625
237704,-0.65625,-0.515625,0.25,0.515625,0.40625
237648,-0.65625,-0.515625,0.25,0.515625,0.40625
229896,-0.65625,-0.515625,0.25,0.515625,0.40625
229832,-0.65625,-0.515625,0.25,0.515625,0.40625
229768,-0.65625,-0.515625,0.25,0.515625,0.40625
229704,-0.65625,-0.515625,0.25,0.515625,0.40625
221456,-0.65625,-0.515625,0.25,0.515625,0.40625
221384,-0.65625,-0.515625,0.25,0.515625,0.40625
229840,-0.65625,-0.515625,0.25,0.515625,0.40625
229776,-0.65625,-0.515625,0.25,0.515625,0.40625
237832,-0.65625,-0.515625,0.25,0.515625,0.40625
237768,-0.65625,-0.515625,0.25,0.515625,0.40625
237968,-0.65625,-0.515625,0.25,0.515625,0.40625
237960,-0.65625,-0.515625,0.25,0.515625,0.40625
237904,-0.65625,-0.515625,0.25,0.515625,0.40625
237896,-0.65625,-0.515625,0.25,0.515625,0.40625
229912,-0.65625,-0.515625,0.25,0.515625,0.40625
229904,-0.65625,-0.515625,0.25,0.515625,0.40625
229848,-0.65625,-0.515625,0.25,0.515625,0.40625
229784,-0.65625,-0.515625,0.25,0.515625,0.40625
229720,-0.65625,-0.515625,0.25,0.515625,0.40625
229712,-0.65625,-0.515625,0.25,0.515625,0.40625
221712,-0.65625,-0.515625,0.25,0.515625,0.40625
221704,-0.65625,-0.515625,0.25,0.515625,0.40625
221648,-0.65625,-0.515625,0.25,0.515625,0.40625
221640,-0.65625,-0.515625,0.25,0.515625,0.40625
221320,-0.65625,-0.515625,0.25,0.515625,0.40625
221256,-0.65625,-0.515625,0.25,0.515625,0.40625
237840,-0.65625,-0.515625,0.25,0.515625,0.40625
238024,-0.65625,-0.515625,0.25,0.515625,0.40625
237976,-0.65625,-0.515625,0.25,0.515625,0.40625
230152,-0.65625,-0.515625,0.25,0.515625,0.40625
230088,-0.65625,-0.515625,0.25,0.515625,0.40625
230024,-0.65625,-0.515625,0.25,0.515625,0.40625
229960,-0.65625,-0.515625,0.25,0.515625,0.40625
221656,-0.65625,-0.515625,0.25,0.515625,0.40625
221576,-0.65625,-0.515625,0.25,0.515625,0.40625
221264,-0.65625,-0.515625,0.25,0.515625,0.40625
237848,-0.65625,-0.515625,0.25,0.515625,0.40625
238088,-0.65625,-0.515625,0.25,0.515625,0.40625
238032,-0.65625,-0.515625,0.25,0.515625,0.40625
238160,-0.65625,-0.515625,0.25,0.515625,0.40625
238152,-0.65625,-0.515625,0.25,0.515625,0.40625
230160,-0.65625,-0.515625,0.25,0.515625,0.40625
229968,-0.65625,-0.515625,0.25,0.515625,0.40625
221968,-0.65625,-0.515625,0.25,0.515625,0.40625
221960,-0.65625,-0.515625,0.25,0.515625,0.40625
221584,-0.65625,-0.515625,0.25,0.515625,0.40625
221520,-0.65625,-0.515625,0.25,0.515625,0.40625
221272,-0.65625,-0.515625,0.25,0.515625,0.40625
245896,-0.65625,-0.515625,0.25,0.515625,0.40625
245832,-0.65625,-0.515625,0.25,0.515625,0.40625
238096,-0.65625,-0.515625,0.25,0.515625,0.40625
238216,-0.65625,-0.515625,0.25,0.515625,0.40625
230168,-0.65625,-0.515625,0.25,0.515625,0.40625
230096,-0.65625,-0.515625,0.25,0.515625,0.40625
230032,-0.65625,-0.515625,0.25,0.515625,0.40625
229976,-0.65625,-0.515625,0.25,0.515625,0.40625
221896,-0.65625,-0.515625,0.25,0.515625,0.40625
221528,-0.65625,-0.515625,0.25,0.515625,0.40625
213256,-0.65625,-0.515625,0.25,0.515625,0.40625
213192,-0.65625,-0.515625,0.25,0.515625,0.40625
238040,-0.65625,-0.515625,0.25,0.515625,0.40625
221592,-0.65625,-0.515625,0.25,0.515625,0.40625
245904,-0.65625,-0.515625,0.25,0.515625,0.40625
246096,-0.65625,-0.515625,0.25,0.515625,0.40625
246088,-0.65625,-0.515625,0.25,0.515625,0.40625
238104,-0.65625,-0.515625,0.25,0.515625,0.40625
238344,-0.65625,-0.515625,0.25,0.515625,0.40625
238280,-0.65625,-0.515625,0.25,0.515625,0.40625
238224,-0.65625,-0.515625,0.25,0.515625,0.40625
238168,-0.65625,-0.515625,0.25,0.515625,0.40625
230176,-0.65625,-0.515625,0.25,0.515625,0.40625
