stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c
237640,30,2,1.221600,0.065442,0.013443,0.013142,-0.716590,-0.480153,0.312786,0.515040,0.368918,0.072512,0.068065,0.078994,0.066033,0.072243,-18,-0.718750,-0.484375,0.312500,0.515625,0.375000
237640,30,10,6.058930,0.179015,0.013061,0.011735,-0.712195,-0.475566,0.306243,0.510538,0.370980,0.018692,0.014074,0.020540,0.013126,0.016123,-18,-0.718750,-0.484375,0.312500,0.515625,0.375000
237640,30,30,18.153500,0.512859,0.013344,0.012615,-0.711271,-0.474929,0.305929,0.509915,0.370357,0.013538,0.007954,0.015940,0.005515,0.012949,-18,-0.718750,-0.468750,0.296875,0.515625,0.375000
237640,50,2,1.231990,0.102657,0.022323,0.017126,-0.720249,-0.484385,0.318553,0.519955,0.366126,0.091885,0.082326,0.097907,0.081860,0.101795,-18,-0.718750,-0.484375,0.312500,0.515625,0.375000
237640,50,10,6.069630,0.200693,0.022011,0.016766,-0.713303,-0.476398,0.307069,0.511205,0.371428,0.021493,0.016418,0.023457,0.016115,0.017081,-18,-0.718750,-0.484375,0.312500,0.515625,0.375000
237640,50,30,18.160800,0.515703,0.022257,0.016331,-0.711745,-0.475291,0.306175,0.510232,0.370629,0.013986,0.008348,0.016270,0.006237,0.012973,-18,-0.718750,-0.484375,0.312500,0.515625,0.375000
229640,30,2,1.194930,0.065973,0.013167,0.012621,-0.701406,-0.489624,0.313020,0.516601,0.361408,0.065458,0.069305,0.075119,0.064285,0.068360,-18,-0.703125,-0.484375,0.312500,0.515625,0.359375
229640,30,10,5.924250,0.079414,0.013353,0.012256,-0.698914,-0.485908,0.307239,0.512851,0.364731,0.014700,0.014141,0.015730,0.013584,0.012032,-18,-0.703125,-0.484375,0.312500,0.515625,0.359375
229640,30,30,17.744400,0.162332,0.013402,0.012370,-0.697669,-0.485307,0.306706,0.511901,0.364368,0.007463,0.004914,0.008430,0.005497,0.006526,-18,-0.703125,-0.484375,0.312500,0.515625,0.359375
229640,50,2,1.203350,0.072759,0.022516,0.016900,-0.707609,-0.495189,0.320586,0.522576,0.359636,0.086512,0.087862,0.096336,0.082319,0.091213,-18,-0.703125,-0.500000,0.328125,0.515625,0.359375
