stripid,w1,w2,w3,w4,w5
8264,-0.625,-0.515625,0.25,0.5,0.390625
8272,-0.625,-0.515625,0.265625,0.5,0.375
8328,-0.671875,-0.5,0.28125,0.515625,0.375
8336,-0.59375,-0.53125,0.21875,0.5,0.40625
8392,-0.671875,-0.5,0.296875,0.5,0.375
8400,-0.625,-0.515625,0.265625,0.5,0.375
8456,-0.59375,-0.53125,0.234375,0.5,0.390625
8464,-0.640625,-0.515625,0.28125,0.5,0.375
8520,-0.625,-0.515625,0.25,0.5,0.390625
8528,-0.640625,-0.515625,0.28125,0.5,0.375
8584,-0.609375,-0.53125,0.25,0.5,0.390625
8592,-0.640625,-0.515625,0.28125,0.5,0.375
8600,-0.609375,-0.53125,0.25,0.5,0.390625
8648,-0.625,-0.515625,0.25,0.5,0.390625
8656,-0.671875,-0.5,0.296875,0.5,0.375
8664,-0.609375,-0.53125,0.25,0.5,0.390625
8712,-0.65625,-0.5,0.28125,0.5,0.375
8720,-0.625,-0.515625,0.265625,0.5,0.375
8776,-0.609375,-0.53125,0.25,0.5,0.390625
8784,-0.640625,-0.515625,0.28125,0.5,0.375
8840,-0.640625,-0.515625,0.28125,0.5,0.375
8904,-0.640625,-0.515625,0.28125,0.5,0.375
8968,-0.625,-0.515625,0.265625,0.5,0.375
8976,-0.640625,-0.515625,0.28125,0.5,0.375
9032,-0.59375,-0.53125,0.234375,0.5,0.390625
9096,-0.59375,-0.53125,0.25,0.5,0.375
9160,-0.59375,-0.53125,0.25,0.5,0.375
9224,-0.609375,-0.53125,0.265625,0.5,0.375
9288,-0.625,-0.515625,0.265625,0.5,0.375
9296,-0.609375,-0.53125,0.28125,0.5,0.359375
9352,-0.609375,-0.53125,0.265625,0.5,0.375
9360,-0.59375,-0.53125,0.25,0.5,0.375
9416,-0.640625,-0.515625,0.296875,0.5,0.359375
9424,-0.59375,-0.53125,0.25,0.5,0.375
9480,-0.640625,-0.515625,0.296875,0.5,0.359375
9488,-0.625,-0.53125,0.28125,0.5,0.375
9608,-0.609375,-0.53125,0.265625,0.5,0.375
9736,-0.625,-0.515625,0.28125,0.5,0.359375
9864,-0.578125,-0.546875,0.25,0.5,0.375
9872,-0.59375,-0.53125,0.265625,0.484375,0.375
9992,-0.59375,-0.53125,0.25,0.484375,0.390625
