stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
8264,-0.629733,-0.518303,0.266023,0.502918,0.379094,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8272,-0.632340,-0.517545,0.273350,0.502610,0.373926,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8328,-0.657717,-0.506023,0.280775,0.508648,0.374317,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
8336,-0.606157,-0.526652,0.238364,0.499862,0.394583,-0.609375,-0.515625,0.234375,0.500000,0.390625,89.000000,95.000000,15.000000,32.000000,25.000000
8392,-0.657973,-0.503330,0.279476,0.503090,0.378736,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
8400,-0.605130,-0.526905,0.252720,0.495087,0.384229,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
8456,-0.608773,-0.526594,0.247128,0.500569,0.387670,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
8464,-0.631414,-0.515444,0.264860,0.498587,0.383410,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8520,-0.633033,-0.516132,0.269059,0.501604,0.378502,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8528,-0.647306,-0.510061,0.283478,0.502929,0.370960,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
8584,-0.625854,-0.520287,0.266414,0.502356,0.377371,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8592,-0.656739,-0.505748,0.286903,0.504932,0.370652,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
8600,-0.616266,-0.523896,0.263359,0.499261,0.377543,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
8648,-0.614861,-0.521680,0.250122,0.495656,0.390763,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
8656,-0.655492,-0.504395,0.289687,0.499501,0.370698,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
8664,-0.590770,-0.533624,0.241933,0.496450,0.386011,-0.593750,-0.531250,0.234375,0.500000,0.390625,90.000000,94.000000,15.000000,32.000000,25.000000
8712,-0.642799,-0.510612,0.271761,0.500957,0.380694,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
8720,-0.611681,-0.525417,0.263237,0.497216,0.376646,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
8776,-0.626588,-0.517839,0.266826,0.497506,0.380095,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8784,-0.656658,-0.505615,0.296111,0.502368,0.363794,-0.656250,-0.500000,0.296875,0.500000,0.359375,86.000000,96.000000,19.000000,32.000000,23.000000
8840,-0.643384,-0.512674,0.288870,0.502189,0.364999,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
8904,-0.621711,-0.519766,0.270312,0.494475,0.376690,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
8968,-0.609053,-0.527150,0.265639,0.497184,0.373380,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
8976,-0.633517,-0.515975,0.280875,0.498416,0.370201,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
9032,-0.594471,-0.533241,0.252483,0.497010,0.378219,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
9096,-0.608000,-0.527453,0.262912,0.497178,0.375363,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
9160,-0.583051,-0.537300,0.241781,0.496048,0.382522,-0.578125,-0.531250,0.234375,0.500000,0.375000,91.000000,94.000000,15.000000,32.000000,24.000000
9224,-0.603764,-0.528149,0.256224,0.495302,0.380387,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
9288,-0.640985,-0.512241,0.285645,0.498742,0.368839,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
9296,-0.619795,-0.523395,0.281683,0.497554,0.363954,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
9352,-0.629961,-0.519729,0.282146,0.502126,0.365418,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
9360,-0.602445,-0.528414,0.260014,0.493085,0.377759,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
9416,-0.628005,-0.519296,0.283698,0.498209,0.365395,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
9424,-0.597862,-0.529838,0.262366,0.490321,0.375014,-0.593750,-0.531250,0.265625,0.484375,0.375000,90.000000,94.000000,17.000000,31.000000,24.000000
9480,-0.635364,-0.515371,0.284872,0.498545,0.367318,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
9488,-0.627008,-0.518677,0.284259,0.495283,0.366143,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
9608,-0.624129,-0.518756,0.273584,0.494442,0.374859,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
9736,-0.636999,-0.516443,0.296534,0.500053,0.356856,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
9864,-0.593202,-0.533009,0.253753,0.494568,0.377890,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
9872,-0.608436,-0.526036,0.267734,0.492951,0.373787,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
9992,-0.599546,-0.528285,0.251507,0.491540,0.384783,-0.593750,-0.531250,0.250000,0.484375,0.390625,90.000000,94.000000,16.000000,31.000000,25.000000
10000,-0.620089,-0.522520,0.272121,0.498515,0.371973,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
16456,-0.631576,-0.517853,0.274659,0.502154,0.372616,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
16464,-0.642911,-0.510863,0.275183,0.500858,0.377733,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
16520,-0.636288,-0.516324,0.271303,0.505662,0.375648,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
16528,-0.620545,-0.521763,0.257669,0.501473,0.383165,-0.625000,-0.515625,0.250000,0.500000,0.390625,88.000000,95.000000,16.000000,32.000000,25.000000
16536,-0.648286,-0.511102,0.278199,0.507969,0.373220,-0.656250,-0.515625,0.281250,0.515625,0.375000,86.000000,95.000000,18.000000,33.000000,24.000000
16584,-0.624545,-0.519752,0.256516,0.502300,0.385481,-0.625000,-0.515625,0.250000,0.500000,0.390625,88.000000,95.000000,16.000000,32.000000,25.000000
