CMSSWID,SM/iz,TT/SC,Strip,XTAL,iphi/ix,ieta/iy,eta,eta_ring,A,t0,alpha,beta,stripid
872415401,-1,236,4,1,1,41,-1.49146,-18,0.22628600000000001,125.4,1.46291,39.4442,237640
872415403,-1,236,1,2,1,43,-1.49761,-18,0.231069,123.87899999999999,1.4988,37.3683,229640
872415404,-1,236,1,3,1,44,-1.5002,-18,0.22869899999999999,123.78299999999999,1.4357799999999998,38.718,229640
872415405,-1,236,1,4,1,45,-1.50247,-18,0.233071,122.65899999999999,1.49488,36.8613,229640
872415406,-1,235,1,1,1,46,-1.50401,-18,0.23233499999999999,124.90899999999999,1.51294,37.1548,229576
872415407,-1,235,1,2,1,47,-1.50549,-18,0.231396,125.395,1.55003,36.816,229576
872415408,-1,235,1,3,1,48,-1.50663,-18,0.22640100000000002,125.73899999999999,1.51005,38.5592,229576
872415409,-1,235,1,4,1,49,-1.5074299999999998,-18,0.232616,123.92200000000001,1.58605,35.9664,229576
872415411,-1,156,1,5,1,51,-1.5079799999999999,-18,0.225231,125.569,1.4369299999999998,39.9631,229512
872415412,-1,156,1,4,1,52,-1.5077,-18,0.226881,123.875,1.4060700000000002,39.5933,229512
872415413,-1,156,1,3,1,53,-1.5070700000000001,-18,0.225544,124.79,1.39465,40.2656,229512
872415414,-1,156,1,2,1,54,-1.5061,-18,0.228921,124.83200000000001,1.48035,38.3061,229512
872415415,-1,156,1,1,1,55,-1.50478,-18,0.22634200000000002,124.79700000000001,1.35863,40.5788,229512
872415416,-1,157,1,5,1,56,-1.50342,-18,0.229042,122.92,1.3418299999999999,39.9289,229448
872415417,-1,157,1,4,1,57,-1.50132,-18,0.23239899999999997,124.706,1.54305,36.6132,229448
872415418,-1,157,1,3,1,58,-1.49888,-18,0.231621,124.075,1.5262,36.8928,229448
872415419,-1,157,1,2,1,59,-1.49613,-18,0.235833,123.936,1.55247,35.8128,229448
872415420,-1,157,4,5,1,60,-1.49305,-18,0.230643,121.76899999999999,1.43498,38.0665,221448
872415529,-1,236,4,2,2,41,-1.51034,-18,0.229819,122.225,1.41095,38.3771,237640
872415530,-1,236,2,1,2,42,-1.5137,-18,0.231942,123.76,1.52836,36.8381,229648
872415531,-1,236,2,2,2,43,-1.51673,-18,0.227675,123.405,1.44449,38.8092,229648
872415532,-1,236,2,3,2,44,-1.51942,-18,0.230422,123.65100000000001,1.5543200000000001,36.7564,229648
872415533,-1,236,1,5,2,45,-1.52177,-18,0.234031,123.228,1.56059,35.923,229640
872415534,-1,235,2,1,2,46,-1.52342,-18,0.23327399999999998,123.417,1.55776,35.9717,229584
872415535,-1,235,2,2,2,47,-1.52496,-18,0.230646,123.645,1.48491,37.6638,229584
872415536,-1,235,2,3,2,48,-1.52615,-18,0.230883,122.54899999999999,1.44862,37.7698,229584
872415537,-1,235,2,4,2,49,-1.52698,-18,0.23483099999999998,123.454,1.58859,35.3654,229584
