stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
237640,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229640,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229576,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229512,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229448,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
221448,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229648,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229584,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229520,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229456,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229656,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229592,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229528,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229464,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
237704,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
237648,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229896,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229832,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229768,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229704,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
221456,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
221384,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
229840,-0.65625,-0.515625,0.25,0.515625,0.40625,-0.65625,-0.515625,0.25,0.515625,0.40625,86,95,16,33,26
