stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring
237640,30,2,1.2216,0.06544169999999999,0.0134434,0.013142099999999999,-0.71659,-0.480153,0.312786,0.5150399999999999,0.36891799999999997,0.07251239999999999,0.0680654,0.0789941,0.0660327,0.0722426,-18
237640,30,10,6.05893,0.179015,0.013060599999999999,0.0117345,-0.712195,-0.475566,0.306243,0.510538,0.37098000000000003,0.0186922,0.0140739,0.0205398,0.0131259,0.0161226,-18
237640,30,30,18.1535,0.5128590000000001,0.0133438,0.0126155,-0.711271,-0.474929,0.305929,0.509915,0.370357,0.013538499999999998,0.00795386,0.0159402,0.00551464,0.012949200000000003,-18
237640,50,2,1.23199,0.102657,0.022322799999999997,0.0171257,-0.720249,-0.484385,0.31855300000000003,0.5199550000000001,0.366126,0.0918853,0.0823258,0.0979073,0.08186,0.10179500000000001,-18
237640,50,10,6.06963,0.200693,0.0220108,0.0167656,-0.713303,-0.47639799999999993,0.307069,0.511205,0.37142800000000004,0.021493099999999998,0.0164179,0.023456900000000003,0.0161149,0.017081,-18
237640,50,30,18.1608,0.515703,0.0222574,0.0163311,-0.711745,-0.47529099999999996,0.306175,0.510232,0.370629,0.0139859,0.00834768,0.016269899999999997,0.00623705,0.012972599999999999,-18
229640,30,2,1.1949299999999998,0.0659726,0.0131667,0.012620999999999999,-0.7014060000000001,-0.489624,0.31301999999999996,0.516601,0.361408,0.0654577,0.06930499999999999,0.0751192,0.0642854,0.06836,-18
229640,30,10,5.92425,0.079414,0.0133528,0.0122563,-0.698914,-0.485908,0.307239,0.5128510000000001,0.36473099999999997,0.014699700000000001,0.0141405,0.0157304,0.0135835,0.0120323,-18
229640,30,30,17.7444,0.162332,0.013402100000000002,0.012369499999999999,-0.697669,-0.485307,0.306706,0.511901,0.36436799999999997,0.0074625,0.00491446,0.00843011,0.00549656,0.006525799999999999,-18
229640,50,2,1.20335,0.0727592,0.022515599999999997,0.016899599999999997,-0.707609,-0.49518900000000005,0.32058600000000004,0.522576,0.359636,0.08651239999999999,0.087862,0.0963362,0.0823188,0.0912125,-18
229640,50,10,5.93342,0.10778299999999999,0.022171200000000002,0.016567099999999998,-0.69965,-0.486912,0.307933,0.5135460000000001,0.365083,0.0175837,0.0155751,0.0191357,0.015906399999999998,0.0128528,-18
229640,50,30,17.7545,0.173483,0.0225049,0.0177568,-0.698055,-0.485678,0.306948,0.5122180000000001,0.36456700000000003,0.00822255,0.00614838,0.00922078,0.00654079,0.00698314,-18
229576,30,2,1.19668,0.058330099999999996,0.014918700000000002,0.0141255,-0.682959,-0.49899899999999997,0.28931599999999996,0.514835,0.377808,0.0809193,0.0781251,0.0773754,0.0722039,0.0783293,-18
229576,30,10,5.92704,0.06244349999999999,0.0146055,0.0127446,-0.6812729999999999,-0.494399,0.283482,0.511152,0.38103899999999996,0.020613299999999998,0.01707,0.018294799999999996,0.0153005,0.0124282,-18
