stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
237640,30,2,1.2216,0.0654417,0.0134434,0.0131421,-0.71659,-0.480153,0.312786,0.51504,0.368918,0.0725124,0.0680654,0.0789941,0.0660327,0.0722426,-18,-0.71875,-0.484375,0.3125,0.515625,0.375,82,97,20,33,24
237640,30,10,6.05893,0.179015,0.0130606,0.0117345,-0.712195,-0.475566,0.306243,0.510538,0.37098,0.0186922,0.0140739,0.0205398,0.0131259,0.0161226,-18,-0.71875,-0.484375,0.3125,0.515625,0.375,82,97,20,33,24
237640,30,30,18.1535,0.512859,0.0133438,0.0126155,-0.711271,-0.474929,0.305929,0.509915,0.370357,0.0135385,0.00795386,0.0159402,0.00551464,0.0129492,-18,-0.71875,-0.46875,0.296875,0.515625,0.375,82,98,19,33,24
237640,50,2,1.23199,0.102657,0.0223228,0.0171257,-0.720249,-0.484385,0.318553,0.519955,0.366126,0.0918853,0.0823258,0.0979073,0.08186,0.101795,-18,-0.71875,-0.484375,0.3125,0.515625,0.375,82,97,20,33,24
237640,50,10,6.06963,0.200693,0.0220108,0.0167656,-0.713303,-0.476398,0.307069,0.511205,0.371428,0.0214931,0.0164179,0.0234569,0.0161149,0.017081,-18,-0.71875,-0.484375,0.3125,0.515625,0.375,82,97,20,33,24
237640,50,30,18.1608,0.515703,0.0222574,0.0163311,-0.711745,-0.475291,0.306175,0.510232,0.370629,0.0139859,0.00834768,0.0162699,0.00623705,0.0129726,-18,-0.71875,-0.484375,0.3125,0.515625,0.375,82,97,20,33,24
229640,30,2,1.19493,0.0659726,0.0131667,0.012621,-0.701406,-0.489624,0.31302,0.516601,0.361408,0.0654577,0.069305,0.0751192,0.0642854,0.06836,-18,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
229640,30,10,5.92425,0.079414,0.0133528,0.0122563,-0.698914,-0.485908,0.307239,0.512851,0.364731,0.0146997,0.0141405,0.0157304,0.0135835,0.0120323,-18,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
229640,30,30,17.7444,0.162332,0.0134021,0.0123695,-0.697669,-0.485307,0.306706,0.511901,0.364368,0.0074625,0.00491446,0.00843011,0.00549656,0.0065258,-18,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
229640,50,2,1.20335,0.0727592,0.0225156,0.0168996,-0.707609,-0.495189,0.320586,0.522576,0.359636,0.0865124,0.087862,0.0963362,0.0823188,0.0912125,-18,-0.703125,-0.5,0.328125,0.515625,0.359375,83,96,21,33,23
