stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
8264,-0.733557,-0.464592,0.340183,0.515206,0.34276,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8272,-0.738912,-0.461659,0.345876,0.516301,0.338393,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8328,-0.736655,-0.46291,0.337252,0.517243,0.34507,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8336,-0.700964,-0.483514,0.311464,0.51291,0.360104,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
8392,-0.737085,-0.460029,0.334478,0.512164,0.350471,-0.734375,-0.453125,0.328125,0.515625,0.34375,81,99,21,33,22
8400,-0.710997,-0.477124,0.326539,0.510621,0.350961,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
8456,-0.676238,-0.497506,0.30384,0.509637,0.360267,-0.671875,-0.5,0.296875,0.515625,0.359375,85,96,19,33,23
8464,-0.738706,-0.459143,0.335941,0.512473,0.349434,-0.734375,-0.453125,0.328125,0.515625,0.34375,81,99,21,33,22
8520,-0.735602,-0.462637,0.340568,0.514698,0.342973,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8528,-0.756781,-0.448616,0.35861,0.514821,0.331966,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
8584,-0.729259,-0.46775,0.339815,0.515365,0.341829,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8592,-0.763227,-0.444123,0.359855,0.515283,0.332212,-0.765625,-0.4375,0.359375,0.515625,0.328125,79,100,23,33,21
8600,-0.716604,-0.475015,0.335115,0.51271,0.343793,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
8648,-0.715677,-0.472701,0.320845,0.509244,0.35829,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
8656,-0.76936,-0.437359,0.361831,0.511028,0.33386,-0.765625,-0.4375,0.359375,0.515625,0.328125,79,100,23,33,21
8664,-0.711114,-0.478882,0.334989,0.512444,0.342564,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
8712,-0.749614,-0.451895,0.344232,0.513028,0.344249,-0.75,-0.453125,0.34375,0.515625,0.34375,80,99,22,33,22
8720,-0.743754,-0.457464,0.353037,0.514174,0.334008,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
8776,-0.727282,-0.466774,0.336137,0.511085,0.346834,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8784,-0.76527,-0.442564,0.365901,0.514701,0.327232,-0.765625,-0.4375,0.359375,0.515625,0.328125,79,100,23,33,21
8840,-0.753316,-0.45123,0.360813,0.514489,0.329243,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
8904,-0.756727,-0.447296,0.3595,0.511121,0.333402,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
8968,-0.739996,-0.461043,0.358304,0.514069,0.328665,-0.734375,-0.46875,0.359375,0.515625,0.328125,81,98,23,33,21
8976,-0.771797,-0.437903,0.370533,0.514336,0.32483,-0.78125,-0.4375,0.375,0.515625,0.328125,78,100,24,33,21
9032,-0.716413,-0.476269,0.344542,0.512629,0.33551,-0.71875,-0.46875,0.34375,0.515625,0.328125,82,98,22,33,21
9096,-0.736577,-0.462911,0.354248,0.513399,0.331841,-0.734375,-0.46875,0.359375,0.515625,0.328125,81,98,23,33,21
9160,-0.702368,-0.485149,0.334064,0.513277,0.340176,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
9224,-0.733515,-0.464284,0.348619,0.512583,0.336596,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
9288,-0.78151,-0.4302,0.37315,0.514315,0.324245,-0.78125,-0.4375,0.375,0.515625,0.328125,78,100,24,33,21
9296,-0.790045,-0.425622,0.39419,0.515331,0.306147,-0.796875,-0.421875,0.390625,0.515625,0.3125,77,101,25,33,20
9352,-0.760504,-0.448369,0.372447,0.51713,0.319296,-0.765625,-0.453125,0.375,0.515625,0.328125,79,99,24,33,21
9360,-0.765372,-0.442461,0.369933,0.51308,0.32482,-0.765625,-0.4375,0.359375,0.515625,0.328125,79,100,23,33,21
9416,-0.766829,-0.442395,0.375593,0.514388,0.319242,-0.765625,-0.4375,0.375,0.515625,0.3125,79,100,24,33,20
9424,-0.761238,-0.444777,0.371041,0.5109,0.324074,-0.765625,-0.453125,0.375,0.515625,0.328125,79,99,24,33,21
9480,-0.771614,-0.437735,0.375946,0.512755,0.320647,-0.765625,-0.4375,0.375,0.515625,0.3125,79,100,24,33,20
9488,-0.798528,-0.416925,0.393001,0.512677,0.309776,-0.796875,-0.421875,0.390625,0.515625,0.3125,77,101,25,33,20
9608,-0.79056,-0.422525,0.380827,0.512389,0.319869,-0.796875,-0.421875,0.375,0.515625,0.328125,77,101,24,33,21
9736,-0.810039,-0.409813,0.409004,0.515391,0.295457,-0.8125,-0.40625,0.40625,0.515625,0.296875,76,102,26,33,19
9864,-0.781997,-0.431981,0.387993,0.516067,0.309918,-0.78125,-0.4375,0.390625,0.515625,0.3125,78,100,25,33,20
9872,-0.809454,-0.408198,0.399894,0.512473,0.305286,-0.8125,-0.40625,0.40625,0.515625,0.296875,76,102,26,33,19
9992,-0.789908,-0.423489,0.380182,0.513401,0.319814,-0.796875,-0.421875,0.375,0.515625,0.328125,77,101,24,33,21
10000,-0.810637,-0.40898,0.401515,0.516324,0.301778,-0.8125,-0.40625,0.40625,0.515625,0.296875,76,102,26,33,19
16456,-0.706709,-0.481092,0.332443,0.511513,0.343845,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
16464,-0.720965,-0.470477,0.32909,0.510767,0.351585,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16520,-0.715969,-0.476042,0.330217,0.514765,0.34703,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16528,-0.692757,-0.488462,0.312079,0.511784,0.357355,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
16536,-0.724437,-0.470922,0.334752,0.515763,0.344844,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16584,-0.696768,-0.485664,0.311891,0.511588,0.358953,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
16592,-0.73784,-0.461695,0.347728,0.514373,0.337434,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
16648,-0.738531,-0.460143,0.338019,0.513917,0.346739,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
16656,-0.688041,-0.491484,0.309467,0.511902,0.358155,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
16712,-0.721563,-0.471067,0.329303,0.512696,0.350631,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16720,-0.694141,-0.48741,0.318134,0.509924,0.353492,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
16776,-0.719058,-0.474334,0.33682,0.514805,0.341767,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16840,-0.698681,-0.485432,0.319869,0.511908,0.352336,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
16848,-0.713276,-0.475586,0.329784,0.509664,0.349414,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16904,-0.72023,-0.470771,0.331922,0.509884,0.349195,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
16912,-0.74016,-0.461342,0.359408,0.514917,0.327176,-0.734375,-0.46875,0.359375,0.515625,0.328125,81,98,23,33,21
16968,-0.730577,-0.465679,0.341218,0.512696,0.342342,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
17032,-0.706712,-0.48071,0.325499,0.512659,0.349263,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
17040,-0.741173,-0.458745,0.346906,0.513349,0.339663,-0.75,-0.453125,0.34375,0.515625,0.34375,80,99,22,33,22
17096,-0.738635,-0.461044,0.347127,0.513877,0.338676,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
17104,-0.704399,-0.481733,0.326543,0.510386,0.349202,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
17160,-0.731275,-0.467207,0.347983,0.515357,0.335143,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
17224,-0.775535,-0.437415,0.384646,0.517003,0.311302,-0.78125,-0.4375,0.390625,0.515625,0.3125,78,100,25,33,20
17232,-0.725452,-0.47158,0.352863,0.515058,0.329111,-0.734375,-0.46875,0.359375,0.515625,0.328125,81,98,23,33,21
17288,-0.726042,-0.470581,0.345761,0.515522,0.33534,-0.71875,-0.46875,0.34375,0.515625,0.328125,82,98,22,33,21
17296,-0.754712,-0.45017,0.371086,0.511836,0.32196,-0.75,-0.453125,0.375,0.515625,0.3125,80,99,24,33,20
17352,-0.75102,-0.453616,0.361986,0.515083,0.327567,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
17360,-0.782642,-0.430969,0.384004,0.516354,0.313254,-0.78125,-0.4375,0.390625,0.515625,0.3125,78,100,25,33,20
17416,-0.75518,-0.450003,0.364729,0.513897,0.326558,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
17480,-0.762776,-0.444755,0.369667,0.514067,0.323798,-0.765625,-0.453125,0.375,0.515625,0.328125,79,99,24,33,21
17544,-0.751799,-0.453066,0.367886,0.513747,0.323232,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
17608,-0.772881,-0.437723,0.3822,0.513681,0.314724,-0.765625,-0.4375,0.375,0.515625,0.3125,79,100,24,33,20
17672,-0.757557,-0.447022,0.362108,0.511912,0.33056,-0.75,-0.453125,0.359375,0.515625,0.328125,80,99,23,33,21
17800,-0.805883,-0.412219,0.401398,0.514649,0.302055,-0.8125,-0.40625,0.40625,0.515625,0.296875,76,102,26,33,19
17928,-0.786222,-0.42643,0.379875,0.513235,0.319542,-0.78125,-0.421875,0.375,0.515625,0.3125,78,101,24,33,20
17936,-0.800274,-0.415751,0.390581,0.513593,0.311852,-0.796875,-0.421875,0.390625,0.515625,0.3125,77,101,25,33,20
17944,-0.814329,-0.404183,0.391854,0.51631,0.310346,-0.8125,-0.40625,0.390625,0.515625,0.3125,76,102,25,33,20
18056,-0.809413,-0.41084,0.402761,0.518099,0.299393,-0.8125,-0.40625,0.40625,0.515625,0.296875,76,102,26,33,19
18064,-0.824454,-0.394493,0.400824,0.512547,0.305576,-0.828125,-0.390625,0.40625,0.515625,0.296875,75,103,26,33,19
18184,-0.869164,-0.352796,0.425832,0.511449,0.284679,-0.875,-0.34375,0.421875,0.515625,0.28125,72,106,27,33,18
24648,-0.717237,-0.475227,0.332582,0.514763,0.345118,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
