stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
8264,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8272,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8328,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8336,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8392,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8400,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8456,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8464,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8520,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8528,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8584,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8592,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8600,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8648,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8656,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8664,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8712,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8720,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8776,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
8784,-0.732996,-0.462348,0.336892,0.512998,0.345454,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
