CMSSWID	SM/iz	TT/SC	Strip	XTAL	iphi/ix	ieta/iy	eta	eta_ring
838861313	24	1	5	5	1	-1	-0.0124339	-1
838861314	24	1	5	4	2	-1	-0.0124228	-1
838861315	24	1	5	3	3	-1	-0.0124338	-1
838861316	24	1	5	2	4	-1	-0.0124229	-1
838861317	24	1	5	1	5	-1	-0.012434	-1
838861318	24	2	5	5	6	-1	-0.0124231	-1
838861319	24	2	5	4	7	-1	-0.0124343	-1
838861320	24	2	5	3	8	-1	-0.0124235	-1
838861321	24	2	5	2	9	-1	-0.0124347	-1
838861322	24	2	5	1	10	-1	-0.0124241	-1
838861323	24	3	5	5	11	-1	-0.0124354	-1
838861324	24	3	5	4	12	-1	-0.0124248	-1
838861325	24	3	5	3	13	-1	-0.0124362	-1
838861326	24	3	5	2	14	-1	-0.0124256	-1
838861327	24	3	5	1	15	-1	-0.0124371	-1
838861328	24	4	5	5	16	-1	-0.0124267	-1
838861329	24	4	5	4	17	-1	-0.0124382	-1
838861330	24	4	5	3	18	-1	-0.0124278	-1
838861331	24	4	5	2	19	-1	-0.0124395	-1
838861332	24	4	5	1	20	-1	-0.0124292	-1
838861333	22	1	5	5	21	-1	-0.013187	-1
838861334	22	1	5	4	22	-1	-0.0131753	-1
838861335	22	1	5	3	23	-1	-0.0131869	-1
838861336	22	1	5	2	24	-1	-0.0131753	-1
838861337	22	1	5	1	25	-1	-0.013187	-1
838861338	22	2	5	5	26	-1	-0.0131755	-1
838861339	22	2	5	4	27	-1	-0.0131873	-1
838861340	22	2	5	3	28	-1	-0.0131758	-1
838861341	22	2	5	2	29	-1	-0.0131877	-1
838861342	22	2	5	1	30	-1	-0.0131764	-1
838861343	22	3	5	5	31	-1	-0.0131883	-1
838861344	22	3	5	4	32	-1	-0.013177	-1
838861345	22	3	5	3	33	-1	-0.0131891	-1
838861346	22	3	5	2	34	-1	-0.0131779	-1
838861347	22	3	5	1	35	-1	-0.01319	-1
838861348	22	4	5	5	36	-1	-0.0131789	-1
838861349	22	4	5	4	37	-1	-0.0131911	-1
838861350	22	4	5	3	38	-1	-0.0131801	-1
838861351	22	4	5	2	39	-1	-0.0131924	-1
838861352	22	4	5	1	40	-1	-0.0131814	-1
838861353	13	1	5	5	41	-1	-0.0133654	-1
838861354	13	1	5	4	42	-1	-0.0133536	-1
838861355	13	1	5	3	43	-1	-0.0133654	-1
838861356	13	1	5	2	44	-1	-0.0133536	-1
838861357	13	1	5	1	45	-1	-0.0133655	-1
838861358	13	2	5	5	46	-1	-0.0133538	-1
838861359	13	2	5	4	47	-1	-0.0133657	-1
838861360	13	2	5	3	48	-1	-0.0133541	-1
838861361	13	2	5	2	49	-1	-0.0133661	-1
838861362	13	2	5	1	50	-1	-0.0133546	-1
838861363	13	3	5	5	51	-1	-0.0133667	-1
838861364	13	3	5	4	52	-1	-0.0133552	-1
838861365	13	3	5	3	53	-1	-0.0133674	-1
838861366	13	3	5	2	54	-1	-0.013356	-1
838861367	13	3	5	1	55	-1	-0.0133683	-1
838861368	13	4	5	5	56	-1	-0.013357	-1
838861369	13	4	5	4	57	-1	-0.0133693	-1
838861370	13	4	5	3	58	-1	-0.0133581	-1
838861371	13	4	5	2	59	-1	-0.0133705	-1
838861372	13	4	5	1	60	-1	-0.0133593	-1
838861373	31	1	5	5	61	-1	-0.0131622	-1
838861374	31	1	5	4	62	-1	-0.0131504	-1
838861375	31	1	5	3	63	-1	-0.0131619	-1
838861376	31	1	5	2	64	-1	-0.0131502	-1
838861377	31	1	5	1	65	-1	-0.0131618	-1
838861378	31	2	5	5	66	-1	-0.0131502	-1
838861379	31	2	5	4	67	-1	-0.0131619	-1
838861380	31	2	5	3	68	-1	-0.0131503	-1
838861381	31	2	5	2	69	-1	-0.0131621	-1
838861382	31	2	5	1	70	-1	-0.0131506	-1
838861383	31	3	5	5	71	-1	-0.0131624	-1
838861384	31	3	5	4	72	-1	-0.013151	-1
838861385	31	3	5	3	73	-1	-0.0131629	-1
838861386	31	3	5	2	74	-1	-0.0131516	-1
838861387	31	3	5	1	75	-1	-0.0131635	-1
838861388	31	4	5	5	76	-1	-0.0131522	-1
838861389	31	4	5	4	77	-1	-0.0131643	-1
838861390	31	4	5	3	78	-1	-0.0131531	-1
838861391	31	4	5	2	79	-1	-0.0131652	-1
838861392	31	4	5	1	80	-1	-0.0131541	-1
838861393	26	1	5	5	81	-1	-0.0125174	-1
838861394	26	1	5	4	82	-1	-0.0125061	-1
838861395	26	1	5	3	83	-1	-0.0125169	-1
838861396	26	1	5	2	84	-1	-0.0125057	-1
838861397	26	1	5	1	85	-1	-0.0125166	-1
838861398	26	2	5	5	86	-1	-0.0125054	-1
838861399	26	2	5	4	87	-1	-0.0125164	-1
838861400	26	2	5	3	88	-1	-0.0125052	-1
838861401	26	2	5	2	89	-1	-0.0125163	-1
838861402	26	2	5	1	90	-1	-0.0125052	-1
838861403	26	3	5	5	91	-1	-0.0125163	-1
838861404	26	3	5	4	92	-1	-0.0125053	-1
838861405	26	3	5	3	93	-1	-0.0125164	-1
838861406	26	3	5	2	94	-1	-0.0125055	-1
838861407	26	3	5	1	95	-1	-0.0125167	-1
838861408	26	4	5	5	96	-1	-0.0125058	-1
838861409	26	4	5	4	97	-1	-0.0125171	-1
838861410	26	4	5	3	98	-1	-0.0125063	-1
838861411	26	4	5	2	99	-1	-0.0125177	-1
838861412	26	4	5	1	100	-1	-0.0125069	-1
838861413	16	1	5	5	101	-1	-0.0130246	-1
838861414	16	1	5	4	102	-1	-0.0130126	-1
838861415	16	1	5	3	103	-1	-0.0130237	-1
838861416	16	1	5	2	104	-1	-0.0130119	-1
838861417	16	1	5	1	105	-1	-0.013023	-1
838861418	16	2	5	5	106	-1	-0.0130112	-1
838861419	16	2	5	4	107	-1	-0.0130225	-1
838861420	16	2	5	3	108	-1	-0.0130107	-1
838861421	16	2	5	2	109	-1	-0.013022	-1
838861422	16	2	5	1	110	-1	-0.0130104	-1
838861423	16	3	5	5	111	-1	-0.0130218	-1
838861424	16	3	5	4	112	-1	-0.0130102	-1
838861425	16	3	5	3	113	-1	-0.0130216	-1
838861426	16	3	5	2	114	-1	-0.0130101	-1
838861427	16	3	5	1	115	-1	-0.0130216	-1
838861428	16	4	5	5	116	-1	-0.0130102	-1
838861429	16	4	5	4	117	-1	-0.0130218	-1
838861430	16	4	5	3	118	-1	-0.0130104	-1
838861431	16	4	5	2	119	-1	-0.0130221	-1
838861432	16	4	5	1	120	-1	-0.0130108	-1
838861433	2	1	5	5	121	-1	-0.0125339	-1
838861434	2	1	5	4	122	-1	-0.0125224	-1
838861435	2	1	5	3	123	-1	-0.012533	-1
838861436	2	1	5	2	124	-1	-0.0125216	-1
838861437	2	1	5	1	125	-1	-0.0125323	-1
838861438	2	2	5	5	126	-1	-0.0125209	-1
838861439	2	2	5	4	127	-1	-0.0125317	-1
838861440	2	2	5	3	128	-1	-0.0125204	-1
838861441	2	2	5	2	129	-1	-0.0125312	-1
838861442	2	2	5	1	130	-1	-0.01252	-1
838861443	2	3	5	5	131	-1	-0.0125309	-1
838861444	2	3	5	4	132	-1	-0.0125197	-1
838861445	2	3	5	3	133	-1	-0.0125307	-1
838861446	2	3	5	2	134	-1	-0.0125196	-1
838861447	2	3	5	1	135	-1	-0.0125307	-1
838861448	2	4	5	5	136	-1	-0.0125197	-1
838861449	2	4	5	4	137	-1	-0.0125308	-1
838861450	2	4	5	3	138	-1	-0.0125198	-1
838861451	2	4	5	2	139	-1	-0.0125311	-1
838861452	2	4	5	1	140	-1	-0.0125202	-1
838861453	11	1	5	5	141	-1	-0.0128293	-1
838861454	11	1	5	4	142	-1	-0.0128174	-1
838861455	11	1	5	3	143	-1	-0.0128281	-1
838861456	11	1	5	2	144	-1	-0.0128162	-1
838861457	11	1	5	1	145	-1	-0.012827	-1
838861458	11	2	5	5	146	-1	-0.0128152	-1
838861459	11	2	5	4	147	-1	-0.0128261	-1
838861460	11	2	5	3	148	-1	-0.0128144	-1
838861461	11	2	5	2	149	-1	-0.0128254	-1
838861462	11	2	5	1	150	-1	-0.0128138	-1
838861463	11	3	5	5	151	-1	-0.0128248	-1
838861464	11	3	5	4	152	-1	-0.0128133	-1
838861465	11	3	5	3	153	-1	-0.0128244	-1
838861466	11	3	5	2	154	-1	-0.0128129	-1
838861467	11	3	5	1	155	-1	-0.0128241	-1
838861468	11	4	5	5	156	-1	-0.0128128	-1
838861469	11	4	5	4	157	-1	-0.0128241	-1
838861470	11	4	5	3	158	-1	-0.0128128	-1
838861471	11	4	5	2	159	-1	-0.0128241	-1
838861472	11	4	5	1	160	-1	-0.0128129	-1
838861473	5	1	5	5	161	-1	-0.0125738	-1
838861474	5	1	5	4	162	-1	-0.012562	-1
838861475	5	1	5	3	163	-1	-0.0125724	-1
838861476	5	1	5	2	164	-1	-0.0125608	-1
838861477	5	1	5	1	165	-1	-0.0125713	-1
838861478	5	2	5	5	166	-1	-0.0125597	-1
838861479	5	2	5	4	167	-1	-0.0125703	-1
838861480	5	2	5	3	168	-1	-0.0125588	-1
838861481	5	2	5	2	169	-1	-0.0125695	-1
838861482	5	2	5	1	170	-1	-0.012558	-1
838861483	5	3	5	5	171	-1	-0.0125688	-1
838861484	5	3	5	4	172	-1	-0.0125575	-1
838861485	5	3	5	3	173	-1	-0.0125683	-1
838861486	5	3	5	2	174	-1	-0.0125571	-1
838861487	5	3	5	1	175	-1	-0.012568	-1
838861488	5	4	5	5	176	-1	-0.0125569	-1
838861489	5	4	5	4	177	-1	-0.0125679	-1
838861490	5	4	5	3	178	-1	-0.0125568	-1
838861491	5	4	5	2	179	-1	-0.012568	-1
838861492	5	4	5	1	180	-1	-0.012557	-1
838861493	0	1	5	5	181	-1	-0.012369	-1
838861494	0	1	5	4	182	-1	-0.0123574	-1
838861495	0	1	5	3	183	-1	-0.0123676	-1
838861496	0	1	5	2	184	-1	-0.012356	-1
838861497	0	1	5	1	185	-1	-0.0123664	-1
838861498	0	2	5	5	186	-1	-0.0123549	-1
838861499	0	2	5	4	187	-1	-0.0123653	-1
838861500	0	2	5	3	188	-1	-0.012354	-1
838861501	0	2	5	2	189	-1	-0.0123644	-1
838861502	0	2	5	1	190	-1	-0.0123532	-1
838861503	0	3	5	5	191	-1	-0.0123637	-1
838861504	0	3	5	4	192	-1	-0.0123526	-1
838861505	0	3	5	3	193	-1	-0.0123632	-1
838861506	0	3	5	2	194	-1	-0.0123521	-1
838861507	0	3	5	1	195	-1	-0.0123629	-1
838861508	0	4	5	5	196	-1	-0.0123519	-1
838861509	0	4	5	4	197	-1	-0.0123627	-1
838861510	0	4	5	3	198	-1	-0.0123518	-1
838861511	0	4	5	2	199	-1	-0.0123627	-1
838861512	0	4	5	1	200	-1	-0.0123519	-1
838861513	29	1	5	5	201	-1	-0.0122958	-1
838861514	29	1	5	4	202	-1	-0.0122843	-1
838861515	29	1	5	3	203	-1	-0.0122945	-1
838861516	29	1	5	2	204	-1	-0.0122831	-1
838861517	29	1	5	1	205	-1	-0.0122934	-1
838861518	29	2	5	5	206	-1	-0.012282	-1
838861519	29	2	5	4	207	-1	-0.0122924	-1
838861520	29	2	5	3	208	-1	-0.0122811	-1
838861521	29	2	5	2	209	-1	-0.0122916	-1
838861522	29	2	5	1	210	-1	-0.0122804	-1
838861523	29	3	5	5	211	-1	-0.012291	-1
838861524	29	3	5	4	212	-1	-0.0122799	-1
838861525	29	3	5	3	213	-1	-0.0122905	-1
838861526	29	3	5	2	214	-1	-0.0122795	-1
838861527	29	3	5	1	215	-1	-0.0122902	-1
838861528	29	4	5	5	216	-1	-0.0122793	-1
838861529	29	4	5	4	217	-1	-0.0122901	-1
838861530	29	4	5	3	218	-1	-0.0122792	-1
838861531	29	4	5	2	219	-1	-0.0122901	-1
838861532	29	4	5	1	220	-1	-0.0122794	-1
838861533	28	1	5	5	221	-1	-0.0121755	-1
838861534	28	1	5	4	222	-1	-0.0121641	-1
838861535	28	1	5	3	223	-1	-0.0121742	-1
838861536	28	1	5	2	224	-1	-0.0121629	-1
838861537	28	1	5	1	225	-1	-0.0121731	-1
838861538	28	2	5	5	226	-1	-0.0121619	-1
838861539	28	2	5	4	227	-1	-0.0121722	-1
838861540	28	2	5	3	228	-1	-0.0121611	-1
838861541	28	2	5	2	229	-1	-0.0121715	-1
838861542	28	2	5	1	230	-1	-0.0121605	-1
838861543	28	3	5	5	231	-1	-0.012171	-1
838861544	28	3	5	4	232	-1	-0.0121601	-1
838861545	28	3	5	3	233	-1	-0.0121706	-1
838861546	28	3	5	2	234	-1	-0.0121598	-1
838861547	28	3	5	1	235	-1	-0.0121704	-1
838861548	28	4	5	5	236	-1	-0.0121597	-1
