crystal rawid	A 	 	t_0 	alpha 	beta 
838861313	0.240739	121.313	1.18318	40.2921
838861314	0.24088		121.85	1.15298	40.8284
838861315	0.242661	122.046	1.1551	40.389
838861316	0.242044	122.717	1.15722	40.5428
838861317	0.242104	124.2	1.17093	40.9686
838861318	0.240976	124.104	1.17403	40.587
838861319	0.240896	124.805	1.21208	40.1368
838861320	0.241904	124.15	1.18456	40.2731
838861321	0.242305	123.579	1.1723	40.2945
838861322	0.24246		123.46	1.16802	40.3701
838861323	0.242379	122.918	1.17697	40.2832
838861324	0.240361	123.458	1.20356	40.211
838861325	0.241223	123.615	1.19282	40.3071
838861326	0.241155	124.118	1.1699	40.7379
838861327	0.242037	124.233	1.19133	40.129
838861328	0.242412	122.056	1.14717	40.6167
838861329	0.241321	121.827	1.16338	40.5415
838861330	0.24077		122.821	1.16363	40.7634
838861331	0.240579	123.989	1.19201	40.6118
838861332	0.242354	123.337	1.14908	40.7711
838861333	0.240261	123.674	1.18419	40.6847
838861334	0.241156	123.128	1.17836	40.4663
838861335	0.2408		123.945	1.17433	40.6932
838861336	0.240863	124.394	1.18145	40.604
838861337	0.242352	124.487	1.17471	40.3898
838861338	0.240512	123.124	1.17649	40.6619
838861339	0.241581	122.668	1.1658	40.5834
838861340	0.242156	123.334	1.16442	40.4675
838861341	0.242259	123.77	1.18139	40.1943
838861342	0.241795	123.143	1.16114	40.5304
838861343	0.241304	122.09	1.16883	40.496
838861344	0.2418		122.346	1.15334	40.7291
838861345	0.241366	123.491	1.17437	40.6566
838861346	0.242078	123.505	1.15457	40.7344
838861347	0.243362	123.826	1.18355	39.9991
838861348	0.241936	123.554	1.16323	40.5513
838861349	0.240614	123.702	1.14877	41.2524
838861350	0.241317	123.462	1.16631	40.5338
838861351	0.242582	123.355	1.15714	40.5254
838861352	0.24006		123.778	1.13749	41.5039
838861353	0.242019	122.682	1.1719	40.2909
838861354	0.242329	122.342	1.17035	40.0815
838861355	0.241784	122.98	1.17343	40.4129
838861356	0.242817	122.991	1.14352	40.6276
838861357	0.241871	123.915	1.16382	40.754
838861358	0.241036	123.379	1.14696	41.0442
838861359	0.241583	122.225	1.13333	40.9101
838861360	0.242186	121.889	1.13671	40.747
838861361	0.242554	122.381	1.15685	40.3724
838861362	0.241706	123.77	1.1579	40.8229
838861363	0.24191		122.042	1.13891	40.9003
838861364	0.242698	122.638	1.18004	40.0643
838861365	0.241435	121.826	1.12763	40.8881
838861366	0.241586	123.244	1.15265	40.8119
838861367	0.241792	123.384	1.15879	40.6432
838861368	0.242911	122.072	1.13795	40.7444
838861369	0.242183	125.382	1.15292	39.975
838861370	0.243754	122.392	1.12102	40.8284
838861371	0.242426	123.229	1.14838	40.7256
838861372	0.242678	123.15	1.15424	40.4843
838861378	0.240391	123.365	1.16437	41.0194
838861379	0.241594	123.779	1.16236	40.7155
838861380	0.240212	124.712	1.19338	40.6254
838861381	0.241589	123.924	1.16492	40.706
838861382	0.241322	123.526	1.15311	40.8632
838861383	0.241721	123.126	1.14964	40.7652
838861384	0.240379	124.134	1.16425	40.9594
838861385	0.241962	123.319	1.15209	40.8109
838861386	0.242487	122.748	1.1267	41.0349
838861387	0.242114	124.531	1.16595	40.6014
838861388	0.23968		122.243	1.15964	41.1358
838861389	0.241593	122.582	1.16197	40.5863
838861390	0.242046	122.583	1.15458	40.7008
838861391	0.242509	122.61	1.13142	40.8542
838861392	0.241826	123.627	1.17896	40.3477
838861393	0.240348	123.147	1.17477	40.7685
838861394	0.240786	124.195	1.13979	40.0294
838861395	0.241814	123.21	1.18865	40.2326
838861396	0.241242	123.589	1.16851	40.6348
838861397	0.241134	124.189	1.18262	40.5225
838861398	0.240036	124.13	1.16264	41.0313
838861399	0.241269	123.666	1.15527	40.9448
838861400	0.241665	123.014	1.17901	40.229
838861401	0.2405		124.447	1.18914	40.5438
838861402	0.242248	125.45	1.13591	40.7431
838861403	0.24273		123.63	1.21922	39.5001
838861404	0.242503	123.224	1.1575	40.5467
838861405	0.243526	123.358	1.17148	40.1223
838861406	0.242103	124.349	1.17887	40.4659
838861407	0.243483	124.009	1.14608	40.6937
838861408	0.240516	123.179	1.18974	40.3926
838861409	0.239528	124.107	1.1953	40.6833
838861410	0.240277	123.199	1.18964	40.2347
838861411	0.240911	123.622	1.17944	40.6873
838861412	0.24111		124.128	1.15755	41.0578
838861413	0.240792	122.768	1.17462	40.4839
838861414	0.240835	122.884	1.16827	40.7553
838861415	0.241152	123.751	1.19421	40.3302
838861416	0.240037	123.468	1.17768	40.6687
838861417	0.240284	124.035	1.16011	41.1163
838861418	0.2405		121.671	1.14089	41.1446
838861419	0.240644	123.282	1.16737	40.7888
838861420	0.240322	122.953	1.15349	41.0833
838861421	0.242989	123.507	1.1695	40.3326
838861422	0.240672	124.226	1.15951	41.0941
838861423	0.24114		123.639	1.17405	40.5298
838861424	0.241584	122.774	1.16154	40.6659
838861425	0.240838	123.902	1.16408	40.9197
838861426	0.240808	124.531	1.19298	40.4922
838861427	0.240736	124.48	1.17658	40.8336
838861428	0.241031	123.34	1.15388	40.8649
838861429	0.241908	124.469	1.20011	40.0823
838861430	0.240526	124.348	1.16805	40.9987
838861431	0.241952	124.735	1.20644	40.0404
838861432	0.242256	124.228	1.14603	40.9884
838861433	0.242184	122.604	1.11595	41.1712
838861434	0.243998	122.38	1.17864	39.6635
838861435	0.243336	123.054	1.17423	39.9221
838861436	0.243793	123.562	1.14963	40.2768
838861437	0.24211		124.13	1.18338	40.3121
838861438	0.241353	121.373	1.09115	41.8856
838861439	0.240816	124.228	1.19406	40.3583
838861440	0.239532	123.919	1.19174	40.6615
838861441	0.24209		124.418	1.19089	40.2676
838861442	0.242089	123.243	1.14202	40.9503
838861443	0.2413		122.701	1.17059	40.4932
838861444	0.241417	122.429	1.16136	40.5463
838861445	0.240751	123.488	1.18565	40.4224
838861446	0.242225	122.488	1.15156	40.5751
838861447	0.24142		122.769	1.12223	41.1896
838861448	0.240887	122.365	1.15015	40.8824
838861449	0.241042	121.817	1.15311	40.7993
838861450	0.24		123.447	1.17455	40.7817
838861451	0.241883	122.98	1.13987	40.9165
838861452	0.241181	123.564	1.15795	40.7232
838861453	0.240507	123.627	1.19029	40.4633
838861454	0.241892	123.263	1.16664	40.371
838861455	0.240521	124.049	1.17464	40.7732
838861456	0.24047		124.428	1.19345	40.526
838861457	0.242561	123.458	1.16088	40.442
838861458	0.241962	121.896	1.16763	40.3901
838861459	0.240703	122.312	1.17381	40.5586
838861460	0.242762	122.292	1.18244	39.8266
838861461	0.242483	124.096	1.18365	40.1802
838861462	0.241402	123.871	1.17475	40.5331
838861463	0.24252		123.839	1.18585	40.0754
838861464	0.243245	123.303	1.16405	40.3025
838861465	0.243003	123.751	1.15728	40.2895
838861466	0.242394	123.42	1.15549	40.6245
838861467	0.244807	124.652	1.11813	39.6881
838861468	0.243302	121.701	1.17567	39.972
838861469	0.241041	123.067	1.16073	40.9097
838861470	0.241923	122.793	1.16715	40.472
838861471	0.241163	122.217	1.13431	41.0683
838861472	0.242757	122.412	1.11074	41.2556
838861473	0.242056	122.727	1.16423	40.4482
838861474	0.241339	123.591	1.16285	40.7458
838861475	0.24206		123.585	1.16287	40.5785
838861476	0.241312	124.164	1.194	40.2632
838861477	0.241095	124.553	1.18728	40.4256
838861478	0.242663	121.991	1.16689	40.0609
838861479	0.241781	122.321	1.14834	40.7022
838861480	0.24313		122.306	1.15502	40.4287
838861481	0.242782	121.238	1.11168	41.0408
838861482	0.243572	122.611	1.12938	40.8137
838861483	0.241275	122.321	1.14576	40.8133
838861484	0.242079	121.935	1.12638	41.0729
838861485	0.243604	122.843	1.1716	39.883
838861486	0.242861	121.989	1.13732	40.7404
838861487	0.241222	123.325	1.15646	40.7246
838861488	0.241471	124.103	1.18528	40.3935
838861489	0.241823	124.312	1.21926	39.3334
838861490	0.241303	123.474	1.15933	40.8054
838861491	0.241269	123.133	1.13802	41.1104
838861492	0.242871	122.895	1.14499	40.6561
838861493	0.242453	119.533	1.0619	41.564
838861494	0.242427	124.148	1.19005	40.1268
838861495	0.24256		124.518	1.21507	39.7237
838861496	0.242644	123.303	1.16137	40.3645
838861497	0.242216	124.262	1.18482	40.3059
838861499	0.240667	123.404	1.19037	40.3674
838861500	0.24104		123.666	1.15189	41.0425
838861501	0.238795	123.702	1.17379	41.0462
838861502	0.239776	123.679	1.13759	41.5115
838861503	0.239055	123.932	1.1892	40.8204
838861504	0.241142	121.026	1.12802	41.1075
838861505	0.24123		122.863	1.16255	40.5955
838861506	0.2404		123.727	1.15554	41.0651
838861507	0.240802	123.905	1.15095	41.2061
838861508	0.242064	121.414	1.11719	41.1352
838861509	0.240453	123.141	1.13144	41.3459
838861510	0.242229	121.061	1.09665	41.33
838861511	0.242733	122.671	1.12344	41.0917
838861512	0.243157	124.357	1.1632	40.3915
838861513	0.241327	123.687	1.16151	40.79
838861514	0.241821	122.957	1.18215	40.1291
838861515	0.242587	123.562	1.18695	39.9716
838861516	0.240921	124.211	1.18399	40.5441
838861517	0.242744	124.302	1.16487	40.4982
838861518	0.242416	122.957	1.15384	40.5544
838861519	0.242848	122.578	1.16702	40.247
838861520	0.241806	123.321	1.16772	40.3979
838861521	0.243276	122.415	1.16671	40.1675
838861522	0.242661	123.816	1.17538	40.3068
838861523	0.241898	122.78	1.16788	40.3363
838861524	0.242871	122.741	1.1485	40.5087
838861525	0.241876	123.894	1.17751	40.4662
838861526	0.242731	122.537	1.16405	40.2634
838861527	0.242429	123.592	1.16918	40.3188
838861528	0.24119		122.519	1.15886	40.6882
838861529	0.241061	123.931	1.17918	40.5427
838861530	0.242121	123.239	1.15761	40.5685
838861531	0.242464	122.784	1.17112	40.3347
838861532	0.242898	122.602	1.12259	40.9152
838861533	0.240709	121.935	1.16237	40.7169
838861534	0.240766	122.53	1.14732	41.0548
838861535	0.241346	122.999	1.17483	40.4657
838861536	0.24062		123.686	1.19878	40.2544
838861537	0.240855	123.991	1.18285	40.4827
838861538	0.240169	122.181	1.1608	40.9154
838861539	0.242467	122.099	1.15976	40.3448
838861540	0.241645	123.178	1.15462	40.7428
838861541	0.241409	123.367	1.19279	40.1635
838861542	0.242179	122.938	1.17824	40.2475
838861543	0.241581	122.665	1.14674	40.994
838861544	0.240708	122.373	1.14037	41.088
838861545	0.240966	123.412	1.1645	40.9459
838861546	0.241348	123.515	1.1698	40.5423
838861547	0.24087		123.838	1.15981	40.8417
838861548	0.240816	124.136	1.16905	40.8488
838861549	0.24218		123.596	1.1712	40.3567
838861550	0.242601	124.477	1.17733	40.3208
838861551	0.240971	124.794	1.15468	41.0186
838861552	0.24299		123.298	1.14415	40.8456
838861553	0.241807	122.647	1.15932	40.6001
838861554	0.240644	122.626	1.18657	40.4183
838861555	0.240904	122.998	1.17843	40.5125
838861556	0.239946	123.169	1.15791	41.1468
838861557	0.241166	123.22	1.14392	40.9814
838861558	0.240683	123.73	1.16189	40.8953
838861559	0.240188	123.633	1.30232	37.9687
838861560	0.242077	123.029	1.14944	40.6556
838861561	0.242783	124.21	1.16705	40.3851
838861562	0.242028	124.026	1.1769	40.3117
838861563	0.24252		121.932	1.13333	40.8495
838861564	0.242508	123.142	1.1593	40.4355
838861565	0.243429	122.983	1.15578	40.3327
838861566	0.242581	124.182	1.19841	39.9458
838861567	0.242949	124.552	1.1943	39.783
838861568	0.243216	120.894	1.11414	40.8092
838861569	0.242372	121.962	1.17221	40.214
838861570	0.241593	123.95	1.21957	39.7524
838861571	0.242978	122.05	1.15402	40.3545
838861572	0.244414	121.396	1.13955	40.1618
838861573	0.241667	122.356	1.14993	40.7861
838861575	0.241695	123.728	1.16172	40.6997
838861576	0.242991	123.081	1.14954	40.5652
838861577	0.243101	123.676	1.18599	39.9726
838861578	0.241943	123.36	1.15323	40.731
838861579	0.242074	123.241	1.17821	40.3761
838861580	0.241431	123.999	1.19499	39.816
838861581	0.242451	122.401	1.11424	41.2871
838861582	0.243212	125.235	1.09115	40.9123
838861583	0.241393	123.192	1.18724	40.2003
838861584	0.241769	121.891	1.12479	41.1534
838861585	0.242241	123.383	1.16733	40.3789
838861586	0.241834	122.69	1.16792	40.361
838861587	0.24134	124.184	1.18106	40.4024
838861588	0.241768	123.814	1.1667	40.664
838861589	0.242653	123.989	1.18881	40.0588
838861590	0.242081	124.336	1.18887	40.2123
838861591	0.242306	125.649	1.10686	40.7081
838861592	0.241607	124.217	1.15307	40.7475
838861593	0.241536	122.611	1.15727	40.6699
838861594	0.242659	122.1	1.15328	40.398
838861595	0.241989	122.919	1.13234	41.1243
838861596	0.243288	122.862	1.15584	40.2257
838861597	0.242409	123.964	1.16415	40.5719
838861598	0.243179	121.851	1.15925	40.0766
838861599	0.241845	124.043	1.18128	40.2916
838861600	0.243461	122.773	1.13363	40.7061
838861601	0.243605	123.786	1.15477	40.3406
838861602	0.24421	122.712	1.1448	40.3366
838861603	0.240244	124.381	1.22135	40.1821
838861604	0.24107	123.186	1.16758	40.6679
838861605	0.242081	122.901	1.1753	40.2432
838861606	0.242433	123.309	1.16338	40.4548
838861607	0.241948	122.854	1.16603	40.4832
838861608	0.241165	123.006	1.16692	40.6378
838861609	0.241137	123.487	1.18804	40.374
838861610	0.242459	123.147	1.15941	40.412
838861612	0.242492	123.149	1.13159	41.084
838861613	0.240194	123.238	1.18212	40.5712
838861614	0.2398	124.136	1.21561	40.231
838861615	0.241447	122.154	1.13839	41.0531
838861616	0.240529	123.006	1.16896	40.7721
838861617	0.241001	123.372	1.14847	40.9601
838861618	0.24119	123.482	1.16072	40.6557
838861619	0.241439	123.25	1.15467	40.7356
838861620	0.242544	123.83	1.18134	40.1955
838861621	0.241389	124.304	1.18533	40.4052
838861622	0.243242	123.668	1.15353	40.3119
838861623	0.242246	123.099	1.14744	40.6818
838861624	0.241801	122.995	1.14275	40.8445
838861625	0.242191	123.643	1.17795	40.3228
838861626	0.24247	122.846	1.14197	40.7002
838861627	0.243336	123.628	1.1746	40.0475
838861628	0.241508	122.125	1.13234	41.0023
838861629	0.241348	123.228	1.1871	40.3073
838861630	0.241805	123.048	1.18503	40.1862
838861631	0.242563	122.771	1.13659	40.7747
838861632	0.242855	123.112	1.1494	40.5139
838861633	0.241082	123.43	1.19131	40.232
838861634	0.24096	123.126	1.18853	40.2451
838861635	0.241465	123.592	1.1515	40.9677
838861636	0.241455	122.588	1.15409	40.644
838861637	0.241534	124.068	1.16972	40.8157
838861638	0.239595	123.971	1.19352	40.6835
838861639	0.240316	123.689	1.1967	40.4175
838861640	0.240742	123.2	1.17572	40.6142
838861641	0.241357	122.966	1.18116	40.3436
838861642	0.242408	124.101	1.20598	39.7063
838861643	0.24239	122.745	1.18053	40.1724
838861644	0.240998	124.52	1.20912	40.086
838861645	0.241468	122.878	1.18401	40.1827
838861646	0.241639	123.473	1.19429	40.0171
838861647	0.241827	122.783	1.17029	40.3723
838861648	0.240823	122.722	1.16264	40.7282
838861649	0.241156	124.834	1.11132	40.7792
838861650	0.238191	122.264	1.12946	41.4746
838861651	0.240619	124.941	1.21605	40.104
838861652	0.241078	122.777	1.14949	40.8804
838861653	0.239368	123.647	1.18402	40.8261
838861654	0.240716	122.493	1.19017	40.3455
838861655	0.24057	123.921	1.21059	40.1323
838861656	0.240917	122.852	1.17016	40.6107
838861657	0.241068	123.934	1.17607	40.6558
838861658	0.24174	123.288	1.18022	40.4042
838861659	0.240423	124.732	1.1975	40.5656
838861660	0.241058	124.599	1.19352	40.3923
838861661	0.242549	121.925	1.13605	40.7128
838861662	0.240977	124.476	1.17211	40.8527
838861663	0.241906	123.318	1.14737	40.9687
838861664	0.242252	124.621	1.21975	39.6739
838861665	0.242166	123.236	1.15876	40.6175
838861666	0.242591	124.327	1.15898	40.6391
838861667	0.243473	123.412	1.17283	39.9903
838861668	0.241942	122.369	1.14418	40.8872
838861669	0.241082	122.679	1.16547	40.7134
838861670	0.240701	123.325	1.16809	40.8353
838861671	0.242908	123.301	1.16894	40.3143
838861672	0.241059	122.887	1.14884	41.0316
838861825	0.242335	123.458	1.16545	40.4617
838861826	0.240625	123.806	1.15439	41.062
838861827	0.24176	124.596	1.1979	40.2634
838861828	0.240433	124.762	1.19401	40.4206
838861829	0.241234	123.794	1.19701	40.2147
838861830	0.241244	125.103	1.16835	40.9142
838861831	0.242356	125.395	1.15421	40.376
838861832	0.241807	124.929	1.17276	40.6526
838861833	0.241397	125.325	1.20393	40.133
838861834	0.242593	122.441	1.14117	40.797
838861835	0.242264	125.773	1.05963	41.6434
838861836	0.242367	124.494	1.19966	39.9734
838861837	0.241848	123.985	1.19089	40.1353
838861838	0.242592	123.685	1.17618	40.1307
838861839	0.241647	123.651	1.21343	39.7398
838861840	0.241898	124.551	1.17106	40.4937
838861841	0.242377	123.902	1.17751	40.3739
838861842	0.240228	124.036	1.19053	40.6328
838861843	0.239806	123.656	1.19015	40.5676
838861844	0.238679	124.484	1.20118	40.8742
838861845	0.242731	124.426	1.15159	40.6711
838861846	0.241715	125.066	1.21482	40.0057
838861847	0.241532	124.08	1.17515	40.4576
838861848	0.241113	123.611	1.18564	40.4622
838861849	0.241522	124.027	1.17411	40.5952
