#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
320065:6961,1:1,07/22/18 22:09:31,STABLE BEAMS,6500,306003.920284292,298552.984883972,35.7,PLTZERO
320065:6961,2:2,07/22/18 22:09:54,STABLE BEAMS,6500,307697.138786476,300493.971471364,36.9,HFET
320065:6961,3:3,07/22/18 22:10:18,STABLE BEAMS,6500,307521.465659542,296024.630404763,36.9,HFET
320065:6961,4:4,07/22/18 22:10:41,STABLE BEAMS,6500,307354.830012379,295897.604870450,36.9,HFET
320065:6961,5:5,07/22/18 22:11:04,STABLE BEAMS,6500,307170.051112376,295713.964192081,36.9,HFET
320065:6961,6:6,07/22/18 22:11:28,STABLE BEAMS,6500,307043.685746611,299856.612885398,36.8,HFET
320065:6961,7:7,07/22/18 22:11:51,STABLE BEAMS,6500,306398.678311267,299271.362085820,36.8,HFET
320065:6961,8:8,07/22/18 22:12:14,STABLE BEAMS,6500,307035.080791061,299877.783807784,36.8,HFET
320065:6961,9:9,07/22/18 22:12:38,STABLE BEAMS,6500,306577.675045371,299444.189658670,36.8,HFET
320065:6961,10:10,07/22/18 22:13:01,STABLE BEAMS,6500,306124.662835187,294372.137472630,36.7,HFET
320065:6961,11:11,07/22/18 22:13:24,STABLE BEAMS,6500,306076.948584306,298920.858115960,36.8,HFET
320065:6961,12:12,07/22/18 22:13:48,STABLE BEAMS,6500,305961.441852925,298820.990549826,36.7,HFET
320065:6961,13:13,07/22/18 22:14:11,STABLE BEAMS,6500,305794.077743917,298695.922756723,36.7,HFET
320065:6961,14:14,07/22/18 22:14:34,STABLE BEAMS,6500,305665.162761692,298543.901875336,36.7,HFET
320065:6961,15:15,07/22/18 22:14:58,STABLE BEAMS,6500,305478.858644700,298388.876088836,36.7,HFET
320065:6961,16:16,07/22/18 22:15:21,STABLE BEAMS,6500,305367.813742123,298264.696108607,36.7,HFET
320065:6961,17:17,07/22/18 22:15:44,STABLE BEAMS,6500,306339.968839404,299227.882019415,36.6,HFET
320065:6961,18:18,07/22/18 22:16:07,STABLE BEAMS,6500,306092.132460898,298954.071423230,36.8,HFET
320065:6961,19:19,07/22/18 22:16:31,STABLE BEAMS,6500,305807.850225684,298674.979478664,36.7,HFET
320065:6961,20:20,07/22/18 22:16:54,STABLE BEAMS,6500,305499.619807297,294156.785939548,36.7,HFET
320065:6961,21:21,07/22/18 22:17:17,STABLE BEAMS,6500,305380.220357930,298293.584173668,36.6,HFET
320065:6961,22:22,07/22/18 22:17:41,STABLE BEAMS,6500,305165.437935664,298069.308982979,36.6,HFET
320065:6961,23:23,07/22/18 22:18:04,STABLE BEAMS,6500,304702.227259643,297627.132642747,36.6,HFET
320065:6961,24:24,07/22/18 22:18:27,STABLE BEAMS,6500,304205.211401104,297176.852164484,36.5,HFET
320065:6961,25:25,07/22/18 22:18:51,STABLE BEAMS,6500,303856.983874512,296842.601999553,36.5,HFET
320065:6961,26:26,07/22/18 22:19:14,STABLE BEAMS,6500,303878.837729877,296852.481763333,36.4,HFET
320065:6961,27:27,07/22/18 22:19:37,STABLE BEAMS,6500,303757.093543945,296766.432207831,36.5,HFET
320065:6961,28:28,07/22/18 22:20:01,STABLE BEAMS,6500,303605.436893480,296583.815928932,36.5,HFET
320065:6961,29:29,07/22/18 22:20:24,STABLE BEAMS,6500,303038.784635395,296057.820947600,36.4,HFET
320065:6961,30:30,07/22/18 22:20:47,STABLE BEAMS,6500,303083.448452299,291867.685647728,36.4,HFET
320065:6961,31:31,07/22/18 22:21:11,STABLE BEAMS,6500,302900.058182689,295931.068586479,36.3,HFET
320065:6961,32:32,07/22/18 22:21:34,STABLE BEAMS,6500,302758.440647033,295793.981172925,36.3,HFET
320065:6961,33:33,07/22/18 22:21:57,STABLE BEAMS,6500,302670.547172484,295718.084554395,36.3,HFET
320065:6961,34:34,07/22/18 22:22:20,STABLE BEAMS,6500,302514.041697860,295491.897151360,36.3,HFET
320065:6961,35:35,07/22/18 22:22:44,STABLE BEAMS,6500,302307.704880116,294800.655153258,36.3,HFET
320065:6961,36:36,07/22/18 22:23:07,STABLE BEAMS,6500,302215.804865417,295275.635040971,36.3,HFET
320065:6961,37:37,07/22/18 22:23:30,STABLE BEAMS,6500,302039.289454474,295088.966693056,36.3,HFET
320065:6961,38:38,07/22/18 22:23:54,STABLE BEAMS,6500,301923.737194229,294989.053598056,36.2,HFET
320065:6961,39:39,07/22/18 22:24:17,STABLE BEAMS,6500,301819.225683829,294879.192445979,36.2,HFET
320065:6961,40:40,07/22/18 22:24:40,STABLE BEAMS,6500,301646.261524383,294701.607106700,36.2,HFET
320065:6961,41:41,07/22/18 22:25:04,STABLE BEAMS,6500,301395.374711899,290288.972241887,36.2,HFET
320065:6961,42:42,07/22/18 22:25:27,STABLE BEAMS,6500,301308.232463628,294417.711866841,36.2,HFET
