#Data tag : 19v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
323699:7234,1:1,09/29/18 05:13:42,STABLE BEAMS,6500,313257.920577562,7918.048042379,31.0,PLTZERO
323699:7234,2:2,09/29/18 05:14:04,STABLE BEAMS,6500,313109.929000758,7896.061157360,37.6,HFET
323699:7234,3:3,09/29/18 05:14:28,STABLE BEAMS,6500,312983.950630348,7778.257352445,37.6,HFET
323699:7234,4:4,09/29/18 05:14:51,STABLE BEAMS,6500,312884.515588434,262582.062534074,37.6,HFET
323699:7234,5:5,09/29/18 05:15:14,STABLE BEAMS,6500,312736.751655957,304906.264869687,37.5,HFET
323699:7234,6:6,09/29/18 05:15:38,STABLE BEAMS,6500,312635.563752727,304848.898499353,37.5,HFET
323699:7234,7:7,09/29/18 05:16:01,STABLE BEAMS,6500,312490.554316603,300366.832114888,37.5,HFET
323699:7234,8:8,09/29/18 05:16:24,STABLE BEAMS,6500,312371.041045072,304538.459930997,37.5,HFET
323699:7234,9:9,09/29/18 05:16:48,STABLE BEAMS,6500,311869.290184537,299807.532768556,37.4,HFET
323699:7234,10:10,09/29/18 05:17:11,STABLE BEAMS,6500,311625.255466287,299576.064017142,37.4,HFET
323699:7234,11:11,09/29/18 05:17:34,STABLE BEAMS,6500,311428.024421612,303691.805151040,37.4,HFET
323699:7234,12:12,09/29/18 05:17:58,STABLE BEAMS,6500,311233.502344425,299157.107398236,37.4,HFET
323699:7234,13:13,09/29/18 05:18:21,STABLE BEAMS,6500,310935.629742905,303239.384816106,37.3,HFET
323699:7234,14:14,09/29/18 05:18:44,STABLE BEAMS,6500,310693.598294731,303003.181062695,37.3,HFET
323699:7234,15:15,09/29/18 05:19:08,STABLE BEAMS,6500,310386.301218084,298410.980352961,37.3,HFET
323699:7234,16:16,09/29/18 05:19:31,STABLE BEAMS,6500,310038.073691492,297704.691064862,37.2,HFET
323699:7234,17:17,09/29/18 05:19:54,STABLE BEAMS,6500,309788.051927449,302189.489181248,37.2,HFET
323699:7234,18:18,09/29/18 05:20:18,STABLE BEAMS,6500,309587.952564258,301982.947483610,37.2,HFET
323699:7234,19:19,09/29/18 05:20:41,STABLE BEAMS,6500,309113.906018285,301514.979041160,37.1,HFET
323699:7234,20:20,09/29/18 05:21:04,STABLE BEAMS,6500,298439.276542773,291406.501006215,37.1,HFET
323699:7234,21:21,09/29/18 05:21:27,STABLE BEAMS,6500,302870.896944435,295608.200637884,37.1,HFET
323699:7234,22:22,09/29/18 05:21:51,STABLE BEAMS,6500,288571.122623551,281903.761760253,37.1,HFET
323699:7234,23:23,09/29/18 05:22:14,STABLE BEAMS,6500,297259.191117461,290192.405518490,32.1,HFET
323699:7234,24:24,09/29/18 05:22:37,STABLE BEAMS,6500,303079.396383283,121406.521102940,34.8,HFET
323699:7234,25:25,09/29/18 05:23:01,STABLE BEAMS,6500,308453.805764079,254845.114801656,37.0,HFET
323699:7234,26:26,09/29/18 05:23:24,STABLE BEAMS,6500,308282.116412863,300711.053101329,37.0,HFET
323699:7234,27:27,09/29/18 05:23:47,STABLE BEAMS,6500,308556.473355432,300987.959660358,37.0,HFET
323699:7234,28:28,09/29/18 05:24:11,STABLE BEAMS,6500,309298.275158500,301729.237881474,37.1,HFET
323699:7234,29:29,09/29/18 05:24:34,STABLE BEAMS,6500,309135.486700458,301564.719326550,37.1,HFET
323699:7234,30:30,09/29/18 05:24:57,STABLE BEAMS,6500,309028.584924628,301483.154364284,37.1,HFET
323699:7234,31:31,09/29/18 05:25:20,STABLE BEAMS,6500,308846.014174594,301277.682594982,37.1,HFET
323699:7234,32:32,09/29/18 05:25:44,STABLE BEAMS,6500,308642.773319694,301086.780062590,37.1,HFET
323699:7234,33:33,09/29/18 05:26:07,STABLE BEAMS,6500,308391.271867527,300829.450915659,37.0,HFET
323699:7234,34:34,09/29/18 05:26:30,STABLE BEAMS,6500,308173.393482418,296346.360131724,37.0,HFET
323699:7234,35:35,09/29/18 05:26:54,STABLE BEAMS,6500,307948.503652046,300418.188674997,37.0,HFET
323699:7234,36:36,09/29/18 05:27:17,STABLE BEAMS,6500,307805.816188055,300268.535294608,36.9,HFET
