#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
323700:7234,1:1,09/29/18 05:52:07,STABLE BEAMS,6500,297579.964738250,289961.300997998,35.7,HFET
323700:7234,2:2,09/29/18 05:52:30,STABLE BEAMS,6500,297425.371475970,289871.449782240,35.7,HFET
323700:7234,3:3,09/29/18 05:52:53,STABLE BEAMS,6500,297260.374867960,289670.212197414,35.7,HFET
323700:7234,4:4,09/29/18 05:53:17,STABLE BEAMS,6500,297083.540754959,280559.931770727,35.7,HFET
323700:7234,5:5,09/29/18 05:53:40,STABLE BEAMS,6500,296997.969252543,289455.179366389,35.6,HFET
323700:7234,6:6,09/29/18 05:54:03,STABLE BEAMS,6500,296813.281410271,289135.407380638,35.6,HFET
323700:7234,7:7,09/29/18 05:54:26,STABLE BEAMS,6500,296734.857939714,285018.528025106,35.6,HFET
323700:7234,8:8,09/29/18 05:54:50,STABLE BEAMS,6500,296566.310080206,201341.231287258,35.6,HFET
323700:7234,9:9,09/29/18 05:55:13,STABLE BEAMS,6500,296335.023444253,288807.258083663,35.6,HFET
323700:7234,10:10,09/29/18 05:55:36,STABLE BEAMS,6500,296202.921441455,288668.668217553,35.6,HFET
323700:7234,11:11,09/29/18 05:56:00,STABLE BEAMS,6500,296007.625373557,288501.167521948,35.5,HFET
323700:7234,12:12,09/29/18 05:56:23,STABLE BEAMS,6500,295851.119898933,288280.329760592,35.5,HFET
323700:7234,13:13,09/29/18 05:56:46,STABLE BEAMS,6500,295587.530533018,288047.404085487,35.5,HFET
323700:7234,14:14,09/29/18 05:57:10,STABLE BEAMS,6500,295311.739431190,287763.008028108,35.5,HFET
323700:7234,15:15,09/29/18 05:57:33,STABLE BEAMS,6500,294994.949586119,287517.311506274,35.4,HFET
323700:7234,16:16,09/29/18 05:57:56,STABLE BEAMS,6500,294749.617295207,287268.837723653,35.4,HFET
323700:7234,17:17,09/29/18 05:58:20,STABLE BEAMS,6500,294662.884806724,283116.058857796,35.4,HFET
323700:7234,18:18,09/29/18 05:58:43,STABLE BEAMS,6500,294609.092452319,287140.719496572,35.4,HFET
323700:7234,19:19,09/29/18 05:59:06,STABLE BEAMS,6500,294497.842669848,287058.858596681,35.4,HFET
323700:7234,20:20,09/29/18 05:59:30,STABLE BEAMS,6500,294364.215450060,286977.179812252,35.3,HFET
323700:7234,21:21,09/29/18 05:59:53,STABLE BEAMS,6500,294222.438563376,286782.521148469,35.3,HFET
323700:7234,22:22,09/29/18 06:00:16,STABLE BEAMS,6500,294075.653501503,268604.074495539,35.3,HFET
323700:7234,23:23,09/29/18 06:00:39,STABLE BEAMS,6500,293964.745185523,104529.346332654,35.3,HFET
323700:7234,24:24,09/29/18 06:01:03,STABLE BEAMS,6500,293748.050550913,286370.371094933,35.3,HFET
323700:7234,25:25,09/29/18 06:01:26,STABLE BEAMS,6500,293633.112930349,286213.615211550,35.2,HFET
323700:7234,26:26,09/29/18 06:01:49,STABLE BEAMS,6500,293482.981496874,286136.261669328,35.2,HFET
323700:7234,27:27,09/29/18 06:02:13,STABLE BEAMS,6500,293306.033561710,285920.454847593,35.2,HFET
323700:7234,28:28,09/29/18 06:02:36,STABLE BEAMS,6500,293110.031796399,285323.890124976,35.2,HFET
323700:7234,29:29,09/29/18 06:02:59,STABLE BEAMS,6500,292987.490855323,285630.253859883,35.2,HFET
323700:7234,30:30,09/29/18 06:03:23,STABLE BEAMS,6500,292733.599137726,285436.278129080,35.2,HFET
323700:7234,31:31,09/29/18 06:03:46,STABLE BEAMS,6500,292205.942352809,284870.217746245,35.0,HFET
323700:7234,32:32,09/29/18 06:04:09,STABLE BEAMS,6500,292528.992416865,285223.111981535,35.1,HFET
323700:7234,33:33,09/29/18 06:04:33,STABLE BEAMS,6500,292266.040455065,285006.417346925,35.1,HFET
323700:7234,34:34,09/29/18 06:04:56,STABLE BEAMS,6500,292055.788154901,284799.670769393,35.1,HFET
323700:7234,35:35,09/29/18 06:05:19,STABLE BEAMS,6500,291879.022335199,284588.917651710,35.0,HFET
323700:7234,36:36,09/29/18 06:05:42,STABLE BEAMS,6500,291846.423667612,284612.365017363,35.0,HFET
323700:7234,37:37,09/29/18 06:06:06,STABLE BEAMS,6500,291730.848642933,275975.038443880,35.0,HFET
323700:7234,38:38,09/29/18 06:06:29,STABLE BEAMS,6500,291260.102939698,284035.263884681,35.0,HFET
323700:7234,39:39,09/29/18 06:06:52,STABLE BEAMS,6500,291605.621498801,284328.355955340,35.0,HFET
323700:7234,40:40,09/29/18 06:07:16,STABLE BEAMS,6500,292070.106983052,284810.711519239,35.1,HFET
323700:7234,41:41,09/29/18 06:07:39,STABLE BEAMS,6500,291760.487934273,284459.001034448,35.0,HFET
323700:7234,42:42,09/29/18 06:08:02,STABLE BEAMS,6500,291422.094642595,284176.221251790,35.0,HFET
323700:7234,43:43,09/29/18 06:08:26,STABLE BEAMS,6500,291117.984586523,283879.395814172,34.9,HFET
323700:7234,44:44,09/29/18 06:08:49,STABLE BEAMS,6500,290919.342147022,283704.428384651,34.9,HFET
323700:7234,45:45,09/29/18 06:09:12,STABLE BEAMS,6500,290732.423390348,283492.537045335,34.9,HFET
323700:7234,46:46,09/29/18 06:09:36,STABLE BEAMS,6500,290669.798436066,279409.690516649,34.9,HFET
323700:7234,47:47,09/29/18 06:09:59,STABLE BEAMS,6500,290486.749632946,283284.925419361,34.9,HFET
323700:7234,48:48,09/29/18 06:10:22,STABLE BEAMS,6500,290254.802828445,283073.489368699,34.8,HFET
323700:7234,49:49,09/29/18 06:10:46,STABLE BEAMS,6500,290152.795405640,278876.228801400,34.8,HFET
323700:7234,50:50,09/29/18 06:11:09,STABLE BEAMS,6500,290003.551785038,282773.294795046,34.8,HFET
323700:7234,51:51,09/29/18 06:11:32,STABLE BEAMS,6500,289859.498455086,282688.588341071,34.8,HFET
323700:7234,52:52,09/29/18 06:11:55,STABLE BEAMS,6500,289750.434058152,282554.300952736,34.8,HFET
323700:7234,53:53,09/29/18 06:12:19,STABLE BEAMS,6500,289561.420973672,282397.249131728,34.8,HFET
323700:7234,54:54,09/29/18 06:12:42,STABLE BEAMS,6500,289383.881163259,282219.140210498,34.7,HFET
323700:7234,55:55,09/29/18 06:13:05,STABLE BEAMS,6500,289174.106916182,282065.798992016,34.7,HFET
323700:7234,56:56,09/29/18 06:13:29,STABLE BEAMS,6500,289006.560691712,281824.541534552,34.7,HFET
323700:7234,57:57,09/29/18 06:13:52,STABLE BEAMS,6500,288879.626215129,281720.986130325,34.7,HFET
323700:7234,58:58,09/29/18 06:14:15,STABLE BEAMS,6500,288720.662181777,277536.951698409,34.6,HFET
323700:7234,59:59,09/29/18 06:14:39,STABLE BEAMS,6500,288501.895983794,281357.460904977,34.6,HFET
323700:7234,60:60,09/29/18 06:15:02,STABLE BEAMS,6500,288302.570611313,281193.169994379,34.6,HFET
