#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
324725:7308,1:1,10/16/18 08:09:04,SQUEEZE,6500,2.004329516,0.040083087,0.0,PLTZERO
324725:7308,18:18,10/16/18 08:15:57,ADJUST,6500,50024.988766731,49679.714925278,1.0,HFET
324725:7308,19:19,10/16/18 08:16:03,ADJUST,6500,92296.161356433,91657.949104242,49.6,HFET
324725:7308,20:20,10/16/18 08:16:26,ADJUST,6500,90572.301927872,89946.262956052,47.4,HFET
324725:7308,21:21,10/16/18 08:16:50,ADJUST,6500,89580.444214113,88960.170334867,46.2,HFET
324725:7308,22:22,10/16/18 08:17:13,ADJUST,6500,87028.841558037,86424.684897124,43.6,HFET
324725:7308,23:23,10/16/18 08:17:36,ADJUST,6500,71677.117112246,71181.711837318,46.3,HFET
324725:7308,24:24,10/16/18 08:18:00,ADJUST,6500,98084.963087384,97405.900060761,46.0,HFET
324725:7308,25:25,10/16/18 08:18:23,ADJUST,6500,91354.573201123,90720.521149003,47.8,HFET
324725:7308,26:26,10/16/18 08:18:46,ADJUST,6500,87659.843176179,87053.466983080,45.6,HFET
324725:7308,27:27,10/16/18 08:19:10,ADJUST,6500,87888.050922613,87280.479596799,45.3,HFET
324725:7308,28:28,10/16/18 08:19:33,ADJUST,6500,91825.546548685,91190.487170419,45.5,HFET
324725:7308,29:29,10/16/18 08:19:56,ADJUST,6500,102020.865203169,101315.190554752,52.9,HFET
324725:7308,30:30,10/16/18 08:20:20,ADJUST,6500,101922.261063047,101213.934358225,52.8,HFET
324725:7308,31:31,10/16/18 08:20:43,ADJUST,6500,101793.391609688,101090.357635462,52.8,HFET
324725:7308,32:32,10/16/18 08:21:06,ADJUST,6500,101583.537687096,100733.718650998,52.7,HFET
324725:7308,33:33,10/16/18 08:21:30,ADJUST,6500,101820.868279924,101118.244065486,52.7,HFET
324725:7308,34:34,10/16/18 08:21:53,ADJUST,6500,101729.469082744,101026.833486089,52.8,HFET
324725:7308,35:35,10/16/18 08:22:16,ADJUST,6500,101449.147858814,100746.512262159,52.6,HFET
324725:7308,36:36,10/16/18 08:22:40,ADJUST,6500,101223.040131294,100521.064703187,52.5,HFET
324725:7308,37:37,10/16/18 08:23:03,ADJUST,6500,101197.259411292,100499.472638797,52.4,HFET
324725:7308,38:38,10/16/18 08:23:26,ADJUST,6500,100896.757517798,100199.027656385,52.3,HFET
324725:7308,39:39,10/16/18 08:23:49,STABLE BEAMS,6500,100667.041627700,99973.045133244,52.2,HFET
324725:7308,40:40,10/16/18 08:24:13,STABLE BEAMS,6500,100713.401394837,57827.759856221,52.2,HFET
324725:7308,41:41,10/16/18 08:24:36,STABLE BEAMS,6500,100465.883718389,99772.331130371,52.1,HFET
324725:7308,42:42,10/16/18 08:24:59,STABLE BEAMS,6500,100298.917986952,99606.105242996,52.0,HFET
324725:7308,43:43,10/16/18 08:25:23,STABLE BEAMS,6500,100282.686946456,99590.636810995,52.0,HFET
324725:7308,44:44,10/16/18 08:25:46,STABLE BEAMS,6500,100202.078090363,99508.297858018,51.9,HFET
324725:7308,45:45,10/16/18 08:26:09,STABLE BEAMS,6500,100168.011116868,99476.905705363,51.9,HFET
324725:7308,46:46,10/16/18 08:26:33,STABLE BEAMS,6500,100130.210776416,99439.310244804,51.9,HFET
324725:7308,47:47,10/16/18 08:26:56,STABLE BEAMS,6500,100087.299820828,97972.848256471,51.9,HFET
324725:7308,48:48,10/16/18 08:27:19,STABLE BEAMS,6500,100005.245423260,99315.392055551,51.8,HFET
324725:7308,49:49,10/16/18 08:27:43,STABLE BEAMS,6500,99915.621851828,99224.209120481,51.8,HFET
