#Data tag : 19v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
306425:6370,1:1,11/09/17 07:27:46,STABLE BEAMS,6500,252659.934144986,250827.738781336,41.7,PLTZERO
306425:6370,2:2,11/09/17 07:28:09,STABLE BEAMS,6500,252502.859559546,250673.350398951,41.3,HFET
306425:6370,3:3,11/09/17 07:28:32,STABLE BEAMS,6500,252311.228565308,250485.384478374,41.3,HFET
306425:6370,4:4,11/09/17 07:28:55,STABLE BEAMS,6500,252259.462245411,250435.894601744,41.2,HFET
306425:6370,5:5,11/09/17 07:29:19,STABLE BEAMS,6500,251992.389921296,250049.878116915,41.2,HFET
306425:6370,6:6,11/09/17 07:29:42,STABLE BEAMS,6500,251953.508270292,250129.075578183,41.2,HFET
306425:6370,7:7,11/09/17 07:30:05,STABLE BEAMS,6500,251764.813887869,249944.751966834,41.2,HFET
306425:6370,8:8,11/09/17 07:30:28,STABLE BEAMS,6500,251541.631389947,249722.024757565,41.2,HFET
306425:6370,9:9,11/09/17 07:30:52,STABLE BEAMS,6500,251340.917387074,249516.211521773,41.1,HFET
306425:6370,10:10,11/09/17 07:31:15,STABLE BEAMS,6500,251305.905689623,249450.308489186,41.1,HFET
306425:6370,11:11,11/09/17 07:31:38,STABLE BEAMS,6500,251145.826199070,249295.259938253,41.1,HFET
306425:6370,12:12,11/09/17 07:32:02,STABLE BEAMS,6500,251017.207154470,249164.546565848,41.1,HFET
306425:6370,13:13,11/09/17 07:32:25,STABLE BEAMS,6500,250910.373671938,249059.488709064,41.0,HFET
306425:6370,14:14,11/09/17 07:32:48,STABLE BEAMS,6500,250721.952462707,248872.433365793,41.0,HFET
306425:6370,15:15,11/09/17 07:33:12,STABLE BEAMS,6500,250438.444218203,248590.154400654,41.0,HFET
306425:6370,16:16,11/09/17 07:33:35,STABLE BEAMS,6500,250338.508358771,248495.226716409,40.9,HFET
306425:6370,17:17,11/09/17 07:33:58,STABLE BEAMS,6500,250304.407238627,248459.600379277,41.0,HFET
306425:6370,18:18,11/09/17 07:34:22,STABLE BEAMS,6500,251892.249181970,250036.014577418,40.9,HFET
306425:6370,19:19,11/09/17 07:34:45,STABLE BEAMS,6500,257862.312708076,255960.435416015,42.0,HFET
306425:6370,20:20,11/09/17 07:35:08,STABLE BEAMS,6500,257924.391315974,255635.632490643,42.2,HFET
306425:6370,21:21,11/09/17 07:35:32,STABLE BEAMS,6500,257589.139516005,255675.174310195,42.1,HFET
306425:6370,22:22,11/09/17 07:35:55,STABLE BEAMS,6500,249040.753580974,247186.613304228,42.0,HFET
306425:6370,23:23,11/09/17 07:36:18,STABLE BEAMS,6500,248454.706026252,246608.373949913,42.0,HFET
306425:6370,24:24,11/09/17 07:36:41,STABLE BEAMS,6500,240319.039255575,235253.087937492,42.1,HFET
306425:6370,25:25,11/09/17 07:37:05,STABLE BEAMS,6500,246882.252839396,245048.031441239,42.1,HFET
306425:6370,26:26,11/09/17 07:37:28,STABLE BEAMS,6500,256357.629237286,254449.992543759,41.5,HFET
306425:6370,27:27,11/09/17 07:37:51,STABLE BEAMS,6500,257179.903309851,255269.512119971,42.0,HFET
306425:6370,28:28,11/09/17 07:38:15,STABLE BEAMS,6500,256451.145526705,254542.484433708,42.0,HFET
306425:6370,29:29,11/09/17 07:38:38,STABLE BEAMS,6500,256232.584208615,254330.274392334,41.9,HFET
306425:6370,30:30,11/09/17 07:39:01,STABLE BEAMS,6500,256127.389765236,254227.105983462,41.9,HFET
306425:6370,31:31,11/09/17 07:39:25,STABLE BEAMS,6500,255912.425227509,254014.873177656,41.9,HFET
306425:6370,32:32,11/09/17 07:39:48,STABLE BEAMS,6500,255747.815614854,253848.078179464,41.8,HFET
306425:6370,33:33,11/09/17 07:40:11,STABLE BEAMS,6500,255628.507223217,253729.885245028,41.8,HFET
306425:6370,34:34,11/09/17 07:40:35,STABLE BEAMS,6500,255472.001748593,253577.113137363,41.8,HFET
306425:6370,35:35,11/09/17 07:40:58,STABLE BEAMS,6500,255263.069785524,253365.244562480,41.8,HFET
306425:6370,36:36,11/09/17 07:41:21,STABLE BEAMS,6500,255041.389740159,253144.839325344,41.7,HFET
306425:6370,37:37,11/09/17 07:41:44,STABLE BEAMS,6500,254923.447214483,253031.153748577,41.7,HFET
306425:6370,38:38,11/09/17 07:42:08,STABLE BEAMS,6500,254163.866389498,252276.899800838,41.7,HFET
306425:6370,39:39,11/09/17 07:42:31,STABLE BEAMS,6500,254257.155034590,252369.801450575,41.5,HFET
306425:6370,40:40,11/09/17 07:42:54,STABLE BEAMS,6500,254343.637114313,252452.026581388,41.6,HFET
306425:6370,41:41,11/09/17 07:43:18,STABLE BEAMS,6500,254218.296148018,252323.885589874,41.6,HFET
306425:6370,42:42,11/09/17 07:43:41,STABLE BEAMS,6500,254566.865141100,252672.932636042,41.6,HFET
306425:6370,43:43,11/09/17 07:44:04,STABLE BEAMS,6500,253908.836450267,252024.943060018,41.6,HFET
306425:6370,44:44,11/09/17 07:44:28,STABLE BEAMS,6500,253651.780476529,251766.953744540,41.5,HFET
306425:6370,45:45,11/09/17 07:44:51,STABLE BEAMS,6500,253510.640993959,251626.224021759,41.5,HFET
306425:6370,46:46,11/09/17 07:45:14,STABLE BEAMS,6500,253266.378631383,251386.150314794,41.5,HFET
306425:6370,47:47,11/09/17 07:45:38,STABLE BEAMS,6500,253088.724998806,251207.358460584,41.4,HFET
306425:6370,48:48,11/09/17 07:46:01,STABLE BEAMS,6500,252867.181540037,250989.024786821,41.4,HFET
306425:6370,49:49,11/09/17 07:46:24,STABLE BEAMS,6500,252697.313343434,250821.205389159,41.4,HFET
306425:6370,50:50,11/09/17 07:46:48,STABLE BEAMS,6500,252595.829502580,250721.201236429,41.3,HFET
306425:6370,51:51,11/09/17 07:47:11,STABLE BEAMS,6500,252028.835778005,250159.375038070,41.3,HFET
306425:6370,52:52,11/09/17 07:47:34,STABLE BEAMS,6500,251990.341122356,250121.267377777,41.2,HFET
306425:6370,53:53,11/09/17 07:47:57,STABLE BEAMS,6500,252028.676426976,250155.937608737,41.2,HFET
306425:6370,54:54,11/09/17 07:48:21,STABLE BEAMS,6500,251935.956892701,250061.283097684,41.2,HFET
306425:6370,55:55,11/09/17 07:48:44,STABLE BEAMS,6500,251362.452540382,249491.603170054,41.2,HFET
306425:6370,56:56,11/09/17 07:49:07,STABLE BEAMS,6500,251013.542080810,249150.364324293,41.0,HFET
306425:6370,57:57,11/09/17 07:49:31,STABLE BEAMS,6500,251517.432798016,249645.126503998,41.1,HFET
306425:6370,58:58,11/09/17 07:49:54,STABLE BEAMS,6500,251323.957884733,249457.251641151,41.1,HFET
306425:6370,59:59,11/09/17 07:50:17,STABLE BEAMS,6500,250987.932094053,249126.256790092,41.0,HFET
306425:6370,60:60,11/09/17 07:50:41,STABLE BEAMS,6500,251002.250922204,249137.821121890,41.1,HFET
306425:6370,61:61,11/09/17 07:51:04,STABLE BEAMS,6500,250828.285127721,248966.450472731,41.0,HFET
306425:6370,62:62,11/09/17 07:51:27,STABLE BEAMS,6500,250654.478684266,248795.694463254,41.0,HFET
306425:6370,63:63,11/09/17 07:51:51,STABLE BEAMS,6500,250343.220596334,248484.459139755,41.0,HFET
306425:6370,64:64,11/09/17 07:52:14,STABLE BEAMS,6500,250164.474270989,248304.825001536,40.9,HFET
306425:6370,65:65,11/09/17 07:52:37,STABLE BEAMS,6500,250047.351264889,248191.617477856,40.9,HFET
306425:6370,66:66,11/09/17 07:53:01,STABLE BEAMS,6500,249366.694727980,247512.918682156,40.9,HFET
306425:6370,67:67,11/09/17 07:53:24,STABLE BEAMS,6500,249272.654856609,247062.843083787,40.7,HFET
306425:6370,68:68,11/09/17 07:53:47,STABLE BEAMS,6500,249546.306101766,247242.568279737,40.8,HFET
306425:6370,69:69,11/09/17 07:54:10,STABLE BEAMS,6500,249353.969410116,247500.216128725,40.8,HFET
306425:6370,70:70,11/09/17 07:54:34,STABLE BEAMS,6500,249396.607192511,247544.743359033,40.8,HFET
306425:6370,71:71,11/09/17 07:54:57,STABLE BEAMS,6500,249648.154173543,247792.534208673,40.9,HFET
306425:6370,72:72,11/09/17 07:55:20,STABLE BEAMS,6500,249087.397903520,247237.537340117,40.8,HFET
306425:6370,73:73,11/09/17 07:55:44,STABLE BEAMS,6500,249121.544552529,247267.677448975,40.8,HFET
306425:6370,74:74,11/09/17 07:56:07,STABLE BEAMS,6500,249108.181830550,247256.978165619,40.7,HFET
