rowinRoot,hashedId,CMSSWID,CMSSWID.1,dbID,side,ix,iy,side.1,eta,eta_ring,sc,iSC,EE,FED,TCC,TTinTCC,CCU,token_ring,strip,VFE,Xtal in CCU,Xtal in VFE,Quadrant,chElectroniq,BarCode1,BarCode2,RusOrChin,stripid,Unnamed: 29,Unnamed: 30,A,t0,alpha,beta
61200,2860,872415401,872415401,2010001041,-1,1,41,-1,-1.49146,-18,236,25,EE-03,606,29,1,24,7,1,4,15,1,3,590,33201,10702,R,237640,,2936.0,0.226413,127.823,1.51731,38.8349
61202,3030,872415403,872415403,2010001043,-1,1,43,-1,-1.49761,-18,236,23,EE-03,606,28,4,24,7,1,1,1,2,3,576,33201,10699,R,229640,,,0.23217600000000002,126.11399999999999,1.51308,37.3948
61203,3112,872415404,872415404,2010001044,-1,1,44,-1,-1.5002,-18,236,22,EE-03,606,28,4,24,7,1,1,2,3,3,577,33201,10592,R,229640,,,0.230123,126.06700000000001,1.4653,38.4229
61204,3192,872415405,872415405,2010001045,-1,1,45,-1,-1.50247,-18,236,21,EE-03,606,28,4,24,7,1,1,3,4,3,578,33201,10466,R,229640,,,0.23482399999999998,124.596,1.50892,36.7027
61205,3272,872415406,872415406,2010001046,-1,1,46,-1,-1.50401,-18,235,25,EE-03,606,28,3,17,7,1,1,0,1,3,400,33201,10364,R,229576,,,0.234077,127.23,1.5613,36.5176
61206,3350,872415407,872415407,2010001047,-1,1,47,-1,-1.50549,-18,235,24,EE-03,606,28,3,17,7,1,1,1,2,3,401,33201,10380,R,229576,,,0.23295300000000002,127.57,1.57034,36.6681
61207,3428,872415408,872415408,2010001048,-1,1,48,-1,-1.50663,-18,235,23,EE-03,606,28,3,17,7,1,1,2,3,3,402,33201,10370,R,229576,,,0.228992,127.571,1.51741,38.2332
61208,3506,872415409,872415409,2010001049,-1,1,49,-1,-1.5074299999999998,-18,235,22,EE-03,606,28,3,17,7,1,1,3,4,3,403,33201,10220,R,229576,,,0.234893,125.993,1.54559,36.3926
61210,3662,872415411,872415411,2010001051,-1,1,51,-1,-1.5079799999999999,-18,156,5,EE-03,606,28,2,9,8,1,1,4,5,2,204,33201,7661,R,229512,,,0.227325,127.99,1.4925,39.0897
61211,3740,872415412,872415412,2010001052,-1,1,52,-1,-1.5077,-18,156,10,EE-03,606,28,2,9,8,1,1,3,4,2,203,33201,7659,R,229512,,,0.227543,126.181,1.39995,40.0733
