ID	SM/iz	TT/SC	Strip	XTAL	iphi/ix	ieta/iy	eta	eta_ring	A	t0	alpha	beta	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10
0_0_1_1	0	1	1	3	183	-5	-0.0864989	-1	0.243376	124.919	1.17987	40.1343	0	0	-0.549562	-0.549562	0.247587	0.485739	0.365798	0	0	0
0_0_1_2	0	1	2	3	183	-4	-0.0679915	-1	0.24213	124.308	1.17523	40.496	0	0	-0.54899	-0.54899	0.26	0.480145	0.357836	0	0	0
0_0_1_3	0	1	3	3	183	-3	-0.049463	-1	0.241359	125.68	1.21004	40.1582	0	0	-0.548595	-0.548595	0.239922	0.484489	0.372779	0	0	0
0_0_1_4	0	1	4	3	183	-2	-0.0309186	-1	0.242774	123.357	1.15206	40.7248	0	0	-0.549286	-0.549286	0.272837	0.477613	0.348122	0	0	0
0_0_1_5	0	1	5	3	183	-1	-0.0123633	-1	0.24246	123.153	1.16264	40.417	0	0	-0.549403	-0.549403	0.277274	0.476654	0.344878	0	0	0
0_0_2_1	0	2	1	3	188	-5	-0.0864647	-1	0.241728	125.564	1.17737	40.7096	0	0	-0.548669	-0.548669	0.240536	0.484567	0.372236	0	0	0
0_0_2_2	0	2	2	3	188	-4	-0.0679646	-1	0.241678	124.68	1.19555	40.1064	0	0	-0.5492	-0.5492	0.254628	0.482166	0.361606	0	0	0
0_0_2_3	0	2	3	3	188	-3	-0.0494435	-1	0.242486	124.582	1.18787	40.1358	0	0	-0.549402	-0.549402	0.255413	0.482595	0.360796	0	0	0
0_0_2_4	0	2	4	3	188	-2	-0.0309064	-1	0.240847	124.206	1.19447	40.2592	0	0	-0.548905	-0.548905	0.26373	0.478549	0.355533	0	0	0
0_0_3_1	0	3	1	3	193	-5	-0.0864685	-1	0.242004	124.232	1.11628	41.799	0	0	-0.548466	-0.548466	0.257206	0.479792	0.359934	0	0	0
0_0_3_2	0	3	2	3	193	-4	-0.0679676	-1	0.2423	123.725	1.18034	40.1447	0	0	-0.549542	-0.549542	0.269044	0.479205	0.350834	0	0	0
0_0_3_3	0	3	3	3	193	-3	-0.0494457	-1	0.242833	122.165	1.12538	40.7225	0	0	-0.549876	-0.549876	0.290078	0.474711	0.334962	0	0	0
0_0_3_4	0	3	4	3	193	-2	-0.0309077	-1	0.241474	123.549	1.16907	40.5877	0	0	-0.549071	-0.549071	0.273059	0.476484	0.348598	0	0	0
0_0_3_5	0	3	5	3	193	-1	-0.0123589	-1	0.240526	123.091	1.15725	40.9589	0	0	-0.550557	-0.548053	0.28115	0.47369	0.343771	0	0	0
0_0_4_1	0	4	1	3	198	-5	-0.0864496	-1	0.243885	125.657	1.17778	40.2362	0	0	-0.549367	-0.549367	0.234946	0.48901	0.374777	0	0	0
0_0_4_2	0	4	2	3	198	-4	-0.0679528	-1	0.242869	124.681	1.1932	40.0298	0	0	-0.549444	-0.549444	0.253781	0.483203	0.361903	0	0	0
0_0_4_3	0	4	3	3	198	-3	-0.0494349	-1	0.24156	124.498	1.14993	41.0713	0	0	-0.548968	-0.548968	0.257104	0.480589	0.360243	0	0	0
0_0_4_5	0	4	5	3	198	-1	-0.0123562	-1	0.242127	122.529	1.12638	41.0589	0	0	-0.549335	-0.549335	0.286416	0.473895	0.338359	0	0	0
0_0_5_1	0	5	1	3	183	-10	-0.173852	-2	0.244481	125.065	1.17316	40.0721	0	0	-0.549973	-0.549973	0.243751	0.488187	0.368008	0	0	0
0_0_5_2	0	5	2	3	183	-9	-0.15653	-2	0.241998	124.416	1.18472	40.2896	0	0	-0.549222	-0.549222	0.258872	0.480949	0.358623	0	0	0
0_0_5_3	0	5	3	3	183	-8	-0.13919	-2	0.242312	124.511	1.17348	40.4558	0	0	-0.54931	-0.54931	0.25652	0.481926	0.360173	0	0	0
0_0_5_4	0	5	4	3	183	-7	-0.121831	-2	0.241617	124.1	1.17275	40.6215	0	0	-0.548972	-0.548972	0.264567	0.478491	0.354886	0	0	0
0_0_5_5	0	5	5	3	183	-6	-0.104454	-2	0.241485	122.463	1.14418	40.8765	0	0	-0.550627	-0.548635	0.288852	0.473035	0.337375	0	0	0
0_0_6_1	0	6	1	3	188	-10	-0.173783	-2	0.243183	126.112	1.1845	40.3096	0	0	-0.548907	-0.548907	0.227945	0.48983	0.380038	0	0	0
0_0_6_2	0	6	2	3	188	-9	-0.156468	-2	0.242049	124.392	1.17357	40.4851	0	0	-0.549262	-0.549262	0.258926	0.481014	0.358585	0	0	0
0_0_6_3	0	6	3	3	188	-8	-0.139135	-2	0.243756	124.121	1.13326	40.5422	0	0	-0.550262	-0.550262	0.255742	0.486251	0.358533	0	0	0
0_0_6_4	0	6	4	3	188	-7	-0.121783	-2	0.241211	123.538	1.18076	40.2909	0	0	-0.551463	-0.548548	0.273252	0.477886	0.348873	0	0	0
0_0_7_1	0	7	1	3	193	-10	-0.173791	-2	0.242818	124.431	1.14641	40.8138	0	0	-0.549404	-0.549404	0.255699	0.482749	0.36036	0	0	0
0_0_7_2	0	7	2	3	193	-9	-0.156475	-2	0.242258	123.309	1.17044	40.4119	0	0	-0.549301	-0.549301	0.276187	0.476423	0.345991	0	0	0
0_0_7_3	0	7	3	3	193	-8	-0.139141	-2	0.241863	124.287	1.18956	40.1817	0	0	-0.549271	-0.549271	0.261089	0.480474	0.356979	0	0	0
0_0_7_4	0	7	4	3	193	-7	-0.121788	-2	0.241958	123.861	1.18909	40.0959	0	0	-0.549286	-0.549286	0.267245	0.47903	0.352298	0	0	0
0_0_7_5	0	7	5	3	193	-6	-0.104417	-2	0.241401	122.735	1.14848	40.8507	0	0	-0.549752	-0.548769	0.284727	0.473584	0.340211	0	0	0
0_0_8_1	0	8	1	3	198	-10	-0.173753	-2	0.242491	124.326	1.15902	40.6485	0	0	-0.549373	-0.549373	0.258652	0.481597	0.358497	0	0	0
0_0_8_2	0	8	2	3	198	-9	-0.156441	-2	0.242453	123.05	1.1683	40.3183	0	0	-0.549508	-0.549508	0.279637	0.476178	0.3432	0	0	0
0_0_8_3	0	8	3	3	198	-8	-0.139111	-2	0.241784	123.914	1.18349	40.4049	0	0	-0.548976	-0.548976	0.267811	0.477646	0.352496	0	0	0
0_0_8_4	0	8	4	3	198	-7	-0.121762	-2	0.241128	123.606	1.16183	40.5625	0	0	-0.549283	-0.549283	0.270253	0.478266	0.350048	0	0	0
0_0_8_5	0	8	5	3	198	-6	-0.104394	-2	0.241865	123.133	1.16997	40.3073	0	0	-0.549474	-0.549474	0.278331	0.476458	0.344159	0	0	0
0_0_9_1	0	9	1	3	183	-15	-0.260617	-3	0.241997	124.85	1.17148	40.6359	0	0	-0.548944	-0.548944	0.251348	0.482397	0.364143	0	0	0
0_0_9_2	0	9	2	3	183	-14	-0.243293	-3	0.241678	124.212	1.19993	39.9794	0	0	-0.5492	-0.5492	0.262149	0.480149	0.356101	0	0	0
0_0_9_3	0	9	3	3	183	-13	-0.22595	-3	0.242149	124.059	1.1714	40.4823	0	0	-0.549239	-0.549239	0.264082	0.479601	0.354794	0	0	0
0_0_9_4	0	9	4	3	183	-12	-0.208589	-3	0.24202	123.359	1.16038	40.6569	0	0	-0.549124	-0.549124	0.275345	0.476119	0.346784	0	0	0
0_0_9_5	0	9	5	3	183	-11	-0.19121	-3	0.241253	122.786	1.15224	40.8312	0	0	-0.54973	-0.54863	0.284311	0.473389	0.340661	0	0	0
0_0_10_1	0	10	1	3	188	-15	-0.260517	-3	0.243246	124.81	1.16564	40.4288	0	0	-0.5496	-0.5496	0.249858	0.484935	0.364408	0	0	0
0_0_10_2	0	10	2	3	188	-14	-0.243198	-3	0.241795	124.28	1.17763	40.4673	0	0	-0.549113	-0.549113	0.261247	0.479912	0.357066	0	0	0
0_0_10_3	0	10	3	3	188	-13	-0.225862	-3	0.243372	123.349	1.15014	40.4357	0	0	-0.549963	-0.549963	0.272801	0.47954	0.347585	0	0	0
0_0_10_4	0	10	4	3	188	-12	-0.208508	-3	0.241397	123.667	1.17223	40.6016	0	0	-0.548943	-0.548943	0.271616	0.476469	0.3498	0	0	0
0_0_10_5	0	10	5	3	188	-11	-0.191135	-3	0.241444	123.062	1.15837	40.7698	0	0	-0.548974	-0.548974	0.280633	0.474149	0.343166	0	0	0
0_0_11_1	0	11	1	3	193	-15	-0.260528	-3	0.24282	125.33	1.17908	40.4173	0	0	-0.549154	-0.549154	0.242712	0.485593	0.370003	0	0	0
0_0_11_2	0	11	2	3	193	-14	-0.243209	-3	0.241667	124.556	1.1938	40.1549	0	0	-0.54905	-0.54905	0.255899	0.481707	0.360494	0	0	0
0_0_11_3	0	11	3	3	193	-13	-0.225872	-3	0.241997	123.034	1.10818	41.7958	0	0	-0.548831	-0.548831	0.279477	0.474031	0.344155	0	0	0
0_0_11_4	0	11	4	3	193	-12	-0.208517	-3	0.241786	123.019	1.1671	40.4459	0	0	-0.551101	-0.548724	0.28088	0.475822	0.343122	0	0	0
0_0_12_1	0	12	1	3	198	-15	-0.260472	-3	0.24376	125.843	1.17076	40.4007	0	0	-0.549233	-0.549233	0.231411	0.489763	0.377291	0	0	0
0_0_12_2	0	12	2	3	198	-14	-0.243157	-3	0.243583	124.514	1.1546	40.294	0	0	-0.549951	-0.549951	0.250986	0.486537	0.362379	0	0	0
0_0_12_3	0	12	3	3	198	-13	-0.225823	-3	0.243149	125.649	1.16817	40.4368	0	0	-0.549282	-0.549282	0.234286	0.489175	0.375102	0	0	0
0_0_12_4	0	12	4	3	198	-12	-0.208472	-3	0.241722	123.6	1.07898	42.202	0	0	-0.54962	-0.54962	0.265734	0.480577	0.352929	0	0	0
0_0_12_5	0	12	5	3	198	-11	-0.191102	-3	0.243241	122.725	1.12749	40.8622	0	0	-0.549747	-0.549747	0.282375	0.476251	0.340867	0	0	0
0_0_13_1	0	13	1	3	183	-16	-0.277979	-4	0.2432	125.041	1.16363	40.556	0	0	-0.549429	-0.549429	0.246293	0.485434	0.367131	0	0	0
0_0_13_2	0	13	2	3	183	-17	-0.295361	-4	0.242669	124.905	1.17228	40.258	0	0	-0.549668	-0.549668	0.247842	0.485872	0.365622	0	0	0
0_0_13_3	0	13	3	3	183	-18	-0.312725	-4	0.242411	123.877	1.15076	40.7654	0	0	-0.549381	-0.549381	0.265904	0.47954	0.353317	0	0	0
0_0_13_4	0	13	4	3	183	-19	-0.330071	-4	0.242313	122.849	1.13546	40.9366	0	0	-0.549416	-0.549416	0.281571	0.475381	0.341881	0	0	0
0_0_13_5	0	13	5	3	183	-20	-0.347399	-4	0.24188	123.442	1.15392	40.7377	0	0	-0.549294	-0.549294	0.273569	0.477072	0.347948	0	0	0
0_0_14_1	0	14	1	3	188	-16	-0.277872	-4	0.243406	124.91	1.11245	41.2241	0	0	-0.549656	-0.549656	0.242322	0.488507	0.368483	0	0	0
0_0_14_2	0	14	2	3	188	-17	-0.295247	-4	0.242181	124.203	1.15302	40.7863	0	0	-0.549356	-0.549356	0.260941	0.480785	0.356986	0	0	0
0_0_14_3	0	14	3	3	188	-18	-0.312605	-4	0.242415	125.012	1.13386	41.0406	0	0	-0.549137	-0.549137	0.242456	0.486929	0.368888	0	0	0
0_0_14_4	0	14	4	3	188	-19	-0.329945	-4	0.241932	124.513	1.14445	40.9105	0	0	-0.549396	-0.549396	0.253569	0.483565	0.361657	0	0	0
0_0_14_5	0	14	5	3	188	-20	-0.347267	-4	0.241889	123.857	1.14533	40.9055	0	0	-0.549208	-0.549208	0.265808	0.479215	0.353394	0	0	0
0_0_15_1	0	15	1	3	193	-16	-0.277884	-4	0.242817	125.251	1.16447	40.617	0	0	-0.549168	-0.549168	0.242903	0.485802	0.369631	0	0	0
0_0_15_2	0	15	2	3	193	-17	-0.29526	-4	0.241876	123.695	1.16273	40.683	0	0	-0.549112	-0.549112	0.270345	0.477368	0.35051	0	0	0
0_0_15_3	0	15	3	3	193	-18	-0.312619	-4	0.241864	124.954	1.16657	40.7705	0	0	-0.548968	-0.548968	0.249971	0.482677	0.365289	0	0	0
0_0_15_4	0	15	4	3	193	-19	-0.329959	-4	0.24194	123.321	1.15752	40.6644	0	0	-0.54917	-0.54917	0.275248	0.476385	0.346705	0	0	0
0_0_15_5	0	15	5	3	193	-20	-0.347282	-4	0.24247	122.731	1.13268	40.9487	0	0	-0.549429	-0.549429	0.283485	0.474894	0.340479	0	0	0
0_0_16_1	0	16	1	3	198	-16	-0.277824	-4	0.243514	125.416	1.17339	40.2233	0	0	-0.54958	-0.54958	0.238293	0.488716	0.372151	0	0	0
0_0_16_2	0	16	2	3	198	-17	-0.295197	-4	0.242738	124.041	1.15882	40.554	0	0	-0.549565	-0.549565	0.263111	0.480884	0.355135	0	0	0
0_0_16_3	0	16	3	3	198	-18	-0.312553	-4	0.242754	124.828	1.16982	40.4378	0	0	-0.549449	-0.549449	0.25028	0.484289	0.364329	0	0	0
0_0_16_4	0	16	4	3	198	-19	-0.329889	-4	0.242006	124.271	1.17399	40.5215	0	0	-0.549142	-0.549142	0.261247	0.47999	0.357047	0	0	0
0_0_16_5	0	16	5	3	198	-20	-0.347209	-4	0.242985	123.415	1.1554	40.4158	0	0	-0.549862	-0.549862	0.27248	0.479236	0.348009	0	0	0
0_0_17_1	0	17	1	3	183	-21	-0.364772	-5	0.243659	123.604	1.09451	41.9528	0	0	-0.549285	-0.549285	0.264726	0.480031	0.353813	0	0	0
0_0_17_2	0	17	2	3	183	-22	-0.382173	-5	0.242352	122.951	1.13914	40.8288	0	0	-0.549475	-0.549475	0.280099	0.47597	0.34288	0	0	0
0_0_17_3	0	17	3	3	183	-23	-0.399556	-5	0.242096	124.756	1.17655	40.4662	0	0	-0.549175	-0.549175	0.252893	0.482544	0.362912	0	0	0
0_0_17_4	0	17	4	3	183	-24	-0.41692	-5	0.241181	124.548	1.19111	40.3703	0	0	-0.548895	-0.548895	0.258138	0.480017	0.359635	0	0	0
0_0_17_5	0	17	5	3	183	-25	-0.434268	-5	0.241732	123.138	1.14597	40.9006	0	0	-0.549194	-0.549194	0.278552	0.475369	0.344467	0	0	0
0_0_18_2	0	18	2	3	188	-22	-0.382029	-5	0.242424	124.279	1.15734	40.6373	0	0	-0.549519	-0.549519	0.259383	0.481742	0.357913	0	0	0
