ID	SM/iz	TT/SC	Strip	XTAL	iphi/ix	ieta/iy	eta	eta_ring	A	t0	alpha	beta	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10
0_0_1_1	0	1	1	3	183	-5	-0.0864989	-1	0.244442	125.625	1.17565	40.1091	0	0	-0.549628	-0.549628	0.23387	0.49039	0.374997	0	0	0
0_0_1_2	0	1	2	3	183	-4	-0.0679915	-1	0.242789	125.136	1.19215	40.1229	0	0	-0.54915	-0.54915	0.245982	0.484782	0.367537	0	0	0
0_0_1_3	0	1	3	3	183	-3	-0.049463	-1	0.24262	126.097	1.21255	39.9985	0	0	-0.548676	-0.548676	0.231444	0.487579	0.378329	0	0	0
0_0_1_4	0	1	4	3	183	-2	-0.0309186	-1	0.243274	124.356	1.17148	40.2404	0	0	-0.549742	-0.549742	0.257332	0.483217	0.358935	0	0	0
0_0_1_5	0	1	5	3	183	-1	-0.0123633	-1	0.242951	123.707	1.15934	40.4155	0	0	-0.549617	-0.549617	0.267575	0.480061	0.351598	0	0	0
0_0_2_1	0	2	1	3	188	-5	-0.0864647	-1	0.242377	126.27	1.18145	40.5751	0	0	-0.548584	-0.548584	0.227266	0.488658	0.381245	0	0	0
0_0_2_2	0	2	2	3	188	-4	-0.0679646	-1	0.242265	125.032	1.18089	40.4238	0	0	-0.549092	-0.549092	0.248352	0.483657	0.366176	0	0	0
0_0_2_3	0	2	3	3	188	-3	-0.0494435	-1	0.242973	125.354	1.1914	40.1238	0	0	-0.549268	-0.549268	0.24225	0.486143	0.370143	0	0	0
0_0_2_4	0	2	4	3	188	-2	-0.0309064	-1	0.241549	124.801	1.17505	40.6442	0	0	-0.54891	-0.54891	0.253105	0.481563	0.363152	0	0	0
0_0_3_1	0	3	1	3	193	-5	-0.0864685	-1	0.243042	126.253	1.18113	40.4269	0	0	-0.548747	-0.548747	0.225968	0.489894	0.381631	0	0	0
0_0_3_2	0	3	2	3	193	-4	-0.0679676	-1	0.243188	124.223	1.17609	40.2095	0	0	-0.549658	-0.549658	0.260354	0.481991	0.35697	0	0	0
0_0_3_3	0	3	3	3	193	-3	-0.0494457	-1	0.243653	123.698	1.15095	40.3993	0	0	-0.550074	-0.550074	0.266892	0.481538	0.351718	0	0	0
0_0_3_4	0	3	4	3	193	-2	-0.0309077	-1	0.242193	124.195	1.16518	40.6362	0	0	-0.54923	-0.54923	0.261939	0.480074	0.356448	0	0	0
0_0_3_5	0	3	5	3	193	-1	-0.0123589	-1	0.241273	124.024	1.14504	41.1042	0	0	-0.54898	-0.54898	0.264716	0.478511	0.354734	0	0	0
0_0_4_1	0	4	1	3	198	-5	-0.0864496	-1	0.243555	125.556	1.17715	40.2649	0	0	-0.549408	-0.549408	0.237022	0.488378	0.373415	0	0	0
0_0_4_2	0	4	2	3	198	-4	-0.0679528	-1	0.242934	124.466	1.18699	40.0988	0	0	-0.549519	-0.549519	0.25708	0.482475	0.359483	0	0	0
0_0_4_3	0	4	3	3	198	-3	-0.0494349	-1	0.241796	124.473	1.1623	40.7368	0	0	-0.549178	-0.549178	0.257363	0.481195	0.359798	0	0	0
0_0_4_5	0	4	5	3	198	-1	-0.0123562	-1	0.241991	122.892	1.14995	40.7267	0	0	-0.549275	-0.549275	0.281944	0.47484	0.341766	0	0	0
0_0_5_1	0	5	1	3	183	-10	-0.173852	-2	0.244854	125.39	1.16454	40.1825	0	0	-0.549977	-0.549977	0.237	0.490431	0.372522	0	0	0
0_0_5_2	0	5	2	3	183	-9	-0.15653	-2	0.242788	124.959	1.16939	40.4748	0	0	-0.549405	-0.549405	0.248187	0.484735	0.365887	0	0	0
0_0_5_3	0	5	3	3	183	-8	-0.13919	-2	0.242919	125.089	1.16671	40.5359	0	0	-0.549369	-0.549369	0.245781	0.485383	0.367574	0	0	0
0_0_5_4	0	5	4	3	183	-7	-0.121831	-2	0.242304	124.668	1.16362	40.6937	0	0	-0.549201	-0.549201	0.25395	0.482296	0.362156	0	0	0
0_0_5_5	0	5	5	3	183	-6	-0.104454	-2	0.242195	123.284	1.14141	40.8906	0	0	-0.549384	-0.549384	0.275273	0.476935	0.346561	0	0	0
0_0_6_1	0	6	1	3	188	-10	-0.173783	-2	0.243871	126.681	1.16887	40.5415	0	0	-0.548687	-0.548687	0.216263	0.49323	0.387881	0	0	0
0_0_6_2	0	6	2	3	188	-9	-0.156468	-2	0.243176	124.864	1.16535	40.4763	0	0	-0.549529	-0.549529	0.249177	0.484887	0.364994	0	0	0
0_0_6_3	0	6	3	3	188	-8	-0.139135	-2	0.244028	124.814	1.16421	40.2953	0	0	-0.549875	-0.549875	0.248538	0.486325	0.364887	0	0	0
0_0_6_4	0	6	4	3	188	-7	-0.121783	-2	0.242538	123.797	1.13504	41.0086	0	0	-0.549429	-0.549429	0.266098	0.479736	0.353023	0	0	0
