ID	SM/iz	TT/SC	Strip	XTAL	iphi/ix	ieta/iy	eta	eta_ring	A	t0	alpha	beta	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10
0_0_1_1	0	1	1	3	183	-5	-0.0864989	-1	0.244531	125.497	1.1388	40.8201	0	0	-0.549429	-0.549429	0.233973	0.490105	0.374781	0	0	0
0_0_1_2	0	1	2	3	183	-4	-0.0679915	-1	0.242507	124.984	1.17095	40.6867	0	0	-0.548579	-0.548579	0.247665	0.482923	0.36657	0	0	0
0_0_1_3	0	1	3	3	183	-3	-0.049463	-1	0.242001	126.614	1.22447	39.8338	0	0	-0.548366	-0.548366	0.222457	0.489663	0.384612	0	0	0
0_0_1_4	0	1	4	3	183	-2	-0.0309186	-1	0.243091	124.573	1.18321	40.1488	0	0	-0.549326	-0.549326	0.253243	0.48358	0.36183	0	0	0
0_0_1_5	0	1	5	3	183	-1	-0.0123633	-1	0.243442	123.31	1.14095	40.9397	0	0	-0.549012	-0.549012	0.272543	0.477197	0.348284	0	0	0
0_0_2_1	0	2	1	3	188	-5	-0.0864647	-1	0.242138	126.289	1.23665	39.8623	0	0	-0.548225	-0.548225	0.230395	0.486324	0.379732	0	0	0
0_0_2_2	0	2	2	3	188	-4	-0.0679646	-1	0.243937	124.687	1.20396	39.9375	0	0	-0.549251	-0.549251	0.25445	0.482432	0.36162	0	0	0
0_0_2_3	0	2	3	3	188	-3	-0.0494435	-1	0.242147	125.496	1.26142	39.4269	0	0	-0.551067	-0.547785	0.245042	0.483697	0.370113	0	0	0
0_0_2_4	0	2	4	3	188	-2	-0.0309064	-1	0.241392	124.74	1.23656	39.9217	0	0	-0.552302	-0.547146	0.258578	0.479578	0.361292	0	0	0
0_0_3_1	0	3	1	3	193	-5	-0.0864685	-1	0.242616	126.72	1.22508	39.7754	0	0	-0.548262	-0.548262	0.219441	0.490639	0.386444	0	0	0
0_0_3_2	0	3	2	3	193	-4	-0.0679676	-1	0.243111	124.403	1.19746	39.9318	0	0	-0.549402	-0.549402	0.258413	0.481854	0.358538	0	0	0
0_0_3_3	0	3	3	3	193	-3	-0.0494457	-1	0.244093	123.408	1.15182	40.6655	0	0	-0.549448	-0.549448	0.273094	0.477822	0.34798	0	0	0
0_0_3_4	0	3	4	3	193	-2	-0.0309077	-1	0.241807	124.239	1.17408	40.5605	0	0	-0.549077	-0.549077	0.262015	0.479541	0.356598	0	0	0
0_0_3_5	0	3	5	3	193	-1	-0.0123589	-1	0.241289	124.214	1.18405	40.6404	0	0	-0.548541	-0.548541	0.264277	0.477198	0.355606	0	0	0
0_0_4_1	0	4	1	3	198	-5	-0.0864496	-1	0.244115	126.596	1.20384	39.759	0	0	-0.549012	-0.549012	0.217725	0.493868	0.386432	0	0	0
